qid,query,answer_norm,answer_enum
4.80349635880317E+018,how many circuses are there in the uk,20,"[Acrojou Circus,Astral Circus,Barely Methodical Troupe,Big Kid Circus,Blackpool Tower Circus,Circus Funtasia,Circus Ginnett,Circus Mondao,Circus Pazaz,Circus Wonderland]"
-5.57499915186658E+018,how many wars held between india and pakistan,4,"[Indo-Pakistani War of 1947,Indo-Pakistani War of 1965,Indo-Pakistani War of 1971,Indo-Pakistani War of 1999]"
2.78135475770222E+018,how many wing stops are there in the united states,840,"[Wingstop Sherman N Hwy 75,Wingstop Jacksonville S Jackson St,Wingstop Torrance,Wingstop Oxford Jackson Ave,Wingstop Aloha Lab 9998]"
-3.18984204835411E+018,how many seasons of goliath are there on amazon,4,"[Goliath Season 1 (2016),Goliath Season 2 (2018),Goliath Season 3 (2019),Goliath Season 4 (2021)]"
1.28106214963619E+017,how many double doubles does lebron james have this season,507,
4.33294529937299E+018,how many episodes are in chicago fire season 4,23,"[Let It Burn Ep1,A Taste of Panama City Ep2,I Walk Away Ep3,Your Day Is Coming Ep4,Regarding This Wedding Ep5,2112 Ep6,Sharp Elbows Ep7,When Tortoises Fly Ep8,Short and Fat Ep9,The Beating Heart Ep10]"
-4.97337347056965E+018,how many students attend university of texas at austin,51090,"[Charles Whitman,Rex Tillerson,Greg Abbott,Michael Dell,Joseph Schooling,Matthew McConaughey,Jeb Bush,Joedan Spieth,William McRaven,Chris Beard]"
-4.7222608094021E+018,how many walker texas ranger seasons are there,9,"[Texas Ranger Pilot Season 1993,Texas Ranger Season 1 1993-94,Texas Ranger Season 2 1994-95,Texas Ranger Season 3 1995-96,Texas Ranger Season 4 1996-97,Texas Ranger Season 5 1997-98,Texas Ranger Season 6 1998-99,Texas Ranger Season 7 1999-2000,Texas Ranger Season 8 2000-01]"
2.88669327437417E+018,how many languages in harry potter translated into,88,"[Afrikaans,Albanian,Arabic,Armenian,Basque,Bengali,Chinese,Czech,Croatian,Filipino]"
7.89473088632443E+018,how many games in a row have the uconn women's basketball team won,111,
-8.96372114581879E+018,how many rides are in disneyland and california adventure,49,"[Radiator Springs Racers,Soarin',The little mermaid: Ariel's undersea Adventure,Goofy's Sky School,Grizzly River Run,Silly Symphony Swings,Golden Zephyr,Maliboomer,Superstar Limo,Monsters Inc. Mike & Sulley to the Rescue]"
6.66199430839337E+018,how many blocks does hassan whiteside have in his career,3,
9.14272393125507E+018,how many states have two capitals in india,5,"[Himachal Pradesh,Karnataka,Goa,Maharashtra,Uttarakhand]"
6.08324220662958E+018,how many national parks are present in india,104,"[Papikonda National Park,Rajiv Gandhi National Park,Sri Venkateswara National Park,Kasu Brahmananda Reddy National Park,Mahavir Harina Vanasthali National Park,Mrugavani National Park,Namdapha National Park,Mouling National Park,Dibru-Saikhowa National Park,Kaziranga National Park]"
4.11183241366166E+018,how many customers does edf have in the uk,5220000,
-5.81070106233034E+018,how many times has lake placid hosted the winter olympics,2,"[1932 Winter Olympics,1980 Winter Olympics]"
-7.95119494686888E+018,how many seasons of ray donovan has there been,7,"[Ray Donovan Season 1 (2013),Ray Donovan Season 2 (2014),Ray Donovan Season 3 (2015),Ray Donovan Season 4 (2016),Ray Donovan Season 5 (2017),Ray Donovan Season 6 (2018–19),Ray Donovan Season 7 (2019–20)]"
2.70194366564718E+017,how many players in the australian open tennis,769,"[Rafael Nadal,Ashleigh Barty,Nick Kyrgios,Thanasi Kokkinakis,Barbora Krejčíková,Kateřina Siniaková,Kristina Mladenovic,Ivan Dodig,Shingo Kunieda,Diede de Groot]"
-8.62245589257865E+018,how many wins does tiger woods have on the pga tour,82,"[2012 Memorial Tournament,2012 AT&T National,2013 Farmers Insurance Open,2013 WGC-Cadillac Championship,2013 Arnold Palmer Invitational,2013 The Players Championship,2013 WGC-Bridgestone Invitational,2018 Tour Championship,2019 Masters Tournament,2019 Zozo Championship]"
-3.20087308987698E+018,how many ammendments to the constitution have there been,27,"[First Amendment to the United States Constitution,Second Amendment to the United States Constitution,Third Amendment to the United States Constitution,Fourth Amendment to the United States Constitution,Fifth Amendment to the United States Constitution,Sixth Amendment to the United States Constitution,Seventh Amendment to the United States Constitution,Eight Amendment to the United States Constitution,Ninth Amendment to the United States Constitution,Tenth Amendment to the United States Constitution]"
