qid,query,answer_norm,comments,category,instances_req,qualifier_req,time_variant,all_instances_req,has_complete_GT
7650,how many jeep yj were made,557412,,industry,0,1,1,0,0
8075,how many cajuns in louisiana,815259,,demography,0,1,1,0,0
8174,how many cases of corona in ohio,2630000,Time-bound,demography,0,1,1,0,0
8357,how many hygienists per dentist in virginia,3,,demography,0,1,1,0,0
8633,how many nri in canada,1780000,Time-bound,demography,0,1,1,0,0
8861,how many honda cbx were made,41000,"one serac result answer, without aggregation",industry,0,1,1,0,0
9311,how many students in gwinnett county schools,188000,,demography,0,1,1,0,0
9511,how many kaepernick shoes were sold,,,other,0,1,1,0,0
10274,how many population in texas,29000000,Time-bound,demography,0,1,1,0,0
10282,how many positive cases in florida today,5750000,Time-bound,demography,0,1,1,0,0
10810,how many uk citizens are there,67880000,,demography,0,1,1,0,0
10822,how many ukrainian soldiers have died,4629,,news,0,1,1,0,0
10961,how many employees does vmc have,108,,organization,0,1,1,0,0
10965,how many covid cases in houston,6470000,Time-bound,demography,0,1,1,0,0
11116,how many confirmed cases of covid-19 in michigan,2330000,Time-bound,demography,0,1,1,0,0
7827,how many atb assist materia,,Non-entity,entertainment,0,0,0.25,0,0
