qid,query,answer_relation,answer_norm,answer_metric,answer_type,query_entity,relation,context
3162,how many lok sabha seats belong to rajasthan,=,25.0,,sabha seat,"('lok', 'lok sabha', 'rajasthan')",belong,()
4029,how many ophthalmologists are there in the us,=,23861.0,,ophthalmologist,"('us',)",,"('there',)"
2305,how many branches of iob bank in india,=,3400.0,,branch,"('india', 'iob bank')",,()
3434,how many msme units are there in india,=,63050000.0,,msme unit,"('india',)",,"('there',)"
4858,how many sounds in the english language,=,44.0,,sound,"('english',)",,"('language',)"
5553,how many waqt in zuhr,=,4.0,,waqt,(),,"('zuhr',)"
2546,how many strokes in jiao,=,11.0,,stroke,"('jiao',)",,()
385,how many ounces in us-west-1,=,33.814,,ounce,"('us', 'west-1')",,()
3201,how many limited company in india,=,1189826.0,,limited company,"('india',)",,()
4125,how many pcyc clubs in nsw,=,63.0,,club,"('nsw',)",pcyc,()
1456,how many exhibits does the smithsonian have,=,137000000.0,,exhibit,"('smithsonian',)",,()
5599,how many wife did david have,=,8.0,,wife,"('david',)",,()
2443,how many subdivision in jajpur,=,1.0,,subdivision,"('jajpur',)",,()
1678,how many gates did jerusalem have,=,8.0,,gate,"('jerusalem',)",,()
1650,how many fxxk were made,=,40.0,,,"('fxxk',)",made,()
5828,how many xxl freshman are there,=,124.0,,freshman,"('xxl freshman', 'xxl')",,"('there',)"
2290,how many inland lakes does michigan have,=,11000.0,,inland lake,"('michigan',)",,()
1700,how many gems to max th13,=,1688882.0,,gem,"('max',)",,"('th13',)"
4821,how many employees at nissan smyrna,=,7000.0,,employee,"('nissan', 'smyrna')",,()
1599,how many followers does charli d'amelio,=,41400000.0,,follower,"(""charli d'amelio"", 'charli')",,()
1622,how many fry do koi have,=,100000.0,,fry,(),koi,()
2232,how many iit are there in india,=,16.0,,iit,"('india',)",,"('there',)"
4340,how many al qaeda,=,170.0,,,"('al', 'al qaeda')",,()
5171,how many uavs does india have,=,100.0,,uav,"('india',)",,()
199,how many amhara live in oromia region,=,84.0,,oromia region,"('amhara',)",live,()
1691,how many gears does luffy have,=,4.0,,gear,"('luffy',)",,()
844,how many cpa firms in the us,=,42000.0,,cpa firm,"('us',)",,()
1716,how many ghanaians live in the uk,=,56112.0,,ghanaian,"('uk',)",live,()
1363,how many eras are in our current eon,=,3.0,,era,(),,"('current', 'eon')"
5929,how many zip codes in the us,=,42000.0,,zip code,"('us',)",,()
61,how many aegon targaryen in game of thrones,=,8.0,,game,"('aegon',)",targaryen,"('thrones',)"
2400,how many frontier in itbp,=,5.0,,frontier,"('itbp',)",,()
3864,how many nyse listed companies,=,2400.0,,company,"('nyse',)",listed,()
1272,how many john wick movies,=,4.0,,movie,"('john wick',)",,()
5430,how many vegans in the world,=,600000.0,,vegan,(),,"('world',)"
5799,how many doses in xopenex inhaler,=,200.0,,dose,"('xopenex',)",,"('inhaler',)"
3817,how many nuclear power plants are in the us,=,58.0,,nuclear power plant,"('us',)",,()
5821,how many envoy xuv were made,=,27200.0,,envoy,"('xuv',)",made,()
992,how many democratic senators are there,=,53.0,,democratic senator,(),,"('there',)"
1506,how many fdic insured banks are there,=,4708.0,,fdic insured bank,(),insured,"('there',)"
2098,how many icbms does north korea have,=,147.0,,icbm,"('north korea',)",,()
3155,how many landlocked countries are there in europe,=,17.0,,country,"('europe',)",landlocked,"('there',)"
2382,how many ismailis are there in the world,=,15000000.0,,ismaili,(),,"('there', 'world')"
5581,how many wegmans stores are there,=,101.0,,wegmans store,(),,"('there',)"
4233,how many portuguese live in usa,=,191000.0,,,"('usa', 'portuguese')",live,()
4047,how many orphans in india,=,20000000.0,,orphan,"('india',)",,()
1467,how many faa control towers are there,=,256.0,,faa control tower,(),,"('there',)"
5771,how many zip codes in florida,=,975.0,,zip code,"('florida',)",,()
3908,how many oblasts in russia,=,46.0,,oblast,"('russia',)",,()
3446,how many msps in the us,=,8000.0,,msp,"('us',)",,()
3470,how many rounds muay thai,=,5.0,,round,"('thai',)",muay,()
5129,how many employees does tva have,=,10009.0,,employee,"('tva',)",,()
4952,how many tafes in australia,=,59.0,,tafe,"('australia',)",,()
562,how many b&q stores in ireland,=,296.0,,store,"('b&q', 'ireland')",,()
162,how many students in aktu,=,400000.0,,student,"('aktu',)",,()
1221,how many ecg full form,=,12.0,,full form,"('ecg',)",,()
864,how many crm projects fail,=,1.33333333333333,,project,"('crm',)",fail,()
5473,how many vlts in alberta,=,6000.0,,vlt,"('alberta',)",,()
4946,how many taal are there in indian music,=,108.0,,taal,"('indian',)",,"('there', 'music')"
836,how many costco stores are there in the world,=,592.0,,costco store,(),,"('there', 'world')"
763,how many cases of cjd in australia,=,20.0,,case,"('australia',)",,"('cjd',)"
1828,how many trains does gwr have,=,93.0,,train,(),,"('gwr',)"
5456,how many vhs tapes will fit on a dvd,=,1.0,,vhs tape,(),fit,"('dvd',)"
4815,how many smithfield plants are there,=,2000.0,,smithfield plant,(),,"('there',)"
2609,how many jntu colleges in telangana,=,423.0,,college,"('jntu', 'telangana')",,()
2356,how many irish speak gaelic,=,138000.0,,irish speak gaelic,(),speak,()
3262,how many partitions does mbr support,=,4.0,,partition,(),mbr,"('support',)"
4997,how many tejas express in india,=,3.0,,teja,"('india', 'tejas express')",express,()
4405,how many does qudos bank arena hold,=,21000.0,,,"('qudos',)",,"('bank', 'arena', 'hold')"
2393,how many seats isuzu d-max,=,5.0,,seat,"('isuzu d', 'max', 'isuzu d-max')",,()
2688,how many jutsu does kakashi know,=,1000.0,,,"('jutsu', 'kakashi')",know,()
3141,how many runners in llhm,=,13000.0,,runner,"('llhm',)",,()
2037,how many hypertension in uk,=,12500000.0,,hypertension,"('uk',)",,()
2277,how many inbreds are in america,=,250000.0,,inbred,"('america',)",,()
2814,how many games in khelo india,=,17.0,,game,"('india', 'khelo')",,()
3832,how many nuns are in the united states,=,180000.0,,nun,"('united', 'the united states')",,()
806,how many views does cnbc have,=,5700000.0,,view,"('cnbc',)",,()
1210,how many ghosts visit ebenezer scrooge in a christmas carol,=,4.0,,ghost,"('ebenezer', 'scrooge', 'christmas')",visit,"('carol',)"
1166,how many rakat is duhr,=,3.0,,rakat,(),,"('duhr',)"
778,how many clinical hours for rn in california,=,864.0,,clinical hour,"('california', 'rn')",,()
4633,how many russians died in wwii,=,26000000.0,,,"('wwii', 'russians')",died,()
4543,how many rounds in nfl draft,=,30.0,,round,"('nfl',)",,"('draft',)"
567,how many british soldiers died in ww1,=,700000.0,,british soldier,"('ww1',)",died,()
3559,how many naxal districts are there in odisha,=,10.0,,naxal district,"('odisha',)",,"('there',)"
978,how many runways does dubai have,=,2.0,,runway,"('dubai',)",,()
4509,how many rheumatologists in the us,=,4997.0,,rheumatologist,"('us',)",,()
5835,how many yakuza are there,=,28200.0,,yakuza,(),,"('there',)"
3297,how many media outlets are there in the us,=,4.0,,media outlet,"('us',)",,"('there',)"
1885,how many hdfc branches in india,=,5314.0,,hdfc branch,"('india',)",,()
3411,how many mpos are in the united states,=,408.0,,mpo,"('the united states', 'united')",,()
3370,how many mna in karachi,=,342.0,,mna,"('karachi',)",,()
588,how many boutiques are in the us,=,74007.0,,boutique,"('us',)",,()
503,how many bk coupons can i use,=,1.0,,bk coupon,(),use,()
3830,how many nukes does russia have,=,6800.0,,nuke,"('russia',)",,()
4460,how many rcss stores in canada,=,500.0,,store,"('canada',)",,"('rcss',)"
1802,how many xy gtho were made,=,1557.0,,xy gtho,(),made,()
1138,how many dtc bus depot in delhi,=,18.0,,dtc bus,"('depot', 'delhi')",,()
529,how many bmtc depot in bangalore,=,45.0,,bmtc depot,(),,"('bangalore',)"
5663,how many washington townships are there in new jersey,=,5.0,,township,"('washington', 'new jersey', 'new')",,"('there',)"
1754,how many buick gnx were produced,=,547.0,,,"('buick gnx',)",produced,()
3146,how many lloyds pharmacy in ireland,=,91.0,,pharmacy,"('ireland',)",lloyds,()
745,how many chc in meghalaya,=,5.0,,chc,"('meghalaya',)",,()
435,how many employees does bmc have,=,9000.0,,employee,"('bmc',)",,()
1419,how many etsy shops can you have,=,2.0,,etsy shop,(),can,()
5901,how many drivers does yrc have,=,8400.0,,driver,"('yrc',)",,()
4558,how many rnli stations in ireland,=,46.0,,rnli station,"('ireland',)",,()
3514,how many employees does mweb have,=,166.0,,employee,(),,"('mweb',)"
5894,how many yoni pearls to use at once,=,3.0,,yoni pearl,(),use,"('at', 'once', 'to')"
934,how many cases of cwd in wisconsin,=,6492.0,,case,"('wisconsin',)",,"('cwd',)"
2707,how many jysk stores are there in canada,=,63.0,,jysk store,"('canada',)",,"('there',)"
4116,how many pcns are there in singapore,=,10.0,,pcn,"('singapore',)",,"('there',)"
642,how many ca students in india,=,2.1,,student,"('india',)",ca,()
5822,how many mahindra xuv300 sold in india,=,1257.0,,mahindra,"('india', 'xuv300')",sold,()
1779,how many gps satellites orbit the earth,=,30.0,,satellite,"('earth',)",orbit,()
1289,how many ejk in the philippines,=,2000.0,,philippine,(),ejk,()
5767,how many mosques in xinjiang,=,39000.0,,mosque,"('xinjiang',)",,()
4380,how many rakats in qiyam al layl,=,11.0,,rakat,"('qiyam al layl', 'qiyam')",,()
5302,how many upgrades in black river snowrunner,=,7.0,,upgrade,"('black river',)",,"('snowrunner',)"
3485,how many muji stores are there in canada,=,8.0,,muji store,"('canada',)",,"('there',)"
1301,how many elephants are in africa,=,415000.0,,elephant,"('africa',)",,()
2515,how many jesus are in the bible,=,24.0,,,"('bible', 'jesus')",,()
2221,how many nift in india,=,16.0,,,"('india',)",,"('nift',)"
2996,how many kvks are in india,=,716.0,,kvk,"('india',)",,()
4444,how many rbmk reactors are still active,=,10.0,,rbmk reactor,(),,"('active', 'still')"
4319,how many pvr cinemas are there in india,=,462.0,,pvr cinema,"('india',)",,"('there',)"
1891,how many heb stores are there in the us,=,340.0,,store,"('heb', 'us')",,"('there',)"
2021,how many hs students in the us,=,56600000.0,,hs student,"('us',)",,()
4818,how many small businesses in the united states,=,30700000.0,,small business,"('united', 'the united states')",,()
5792,how many xmm registers are there,=,8.0,,register,(),xmm,"('there',)"
5134,how many tvet colleges are there in south africa,=,50.0,,tvet college,"('south', 'south africa')",,"('there',)"
4911,how many sue ryder homes are there,=,100.0,,ryder home,(),sue,"('there',)"
3432,how many sds are required at your workplace,=,1.0,,sd,(),required,"('workplace',)"
914,how many cults are there in the united states,=,10000.0,,cult,"('united', 'the united states')",,"('there',)"
3142,how many lloyd loar mandolins are there,=,228.0,,loar mandolin,(),,"('lloyd', 'there')"
5758,how many cities in england,=,69.0,,city,"('england',)",,()
5520,how many vta in canada,=,7.0,,vtum,"('canada',)",,()
4065,how many osmond brothers are there,=,9.0,,osmond brother,(),,"('there',)"
904,how many cto in a company,=,4.0,,cto,(),,"('company',)"
6024,how many electrons does zn have,=,30.0,,electron,(),zn,()
2502,how many jeep xjs were made,=,3000000.0,,jeep,"('xjs',)",made,()
1035,how many dioceses in texas,=,15.0,,diocese,"('texas',)",,()
2861,how many times kkr win ipl,=,2.0,,time,"('kkr',)",,"('ipl', 'win')"
5133,how many tva lakes are there,=,49.0,,lake,"('tva',)",,"('there',)"
1345,how many epf members in india,=,45060972.0,,member,"('india',)",epf,()
1226,how many echoes of ny'alotha per week,=,3875.0,,echo,"(""ny'alotha"",)",,"('week',)"
1441,how many eu citizens live in the uk,=,2370000.0,,citizen,"('uk', 'eu')",live,()
2339,how many irregular verbs in english,=,200.0,,irregular verb,"('english',)",,()
2296,how many inpatient beds at mgh,=,999.0,,inpatient bed,(),,"('mgh',)"
5224,how many students does ull have,=,15073.0,,student,(),ull,()
5705,how many wyndham hotels are there in the us,=,9000.0,,wyndham hotel,"('us',)",,"('there',)"
4995,how many ted bundy movies are there,=,2.0,,bundy movie,(),ted,"('there',)"
4517,how many rifles are in the us,=,15000000.0,,rifle,"('us',)",,()
5861,how many yoga studios in the us,=,6000.0,,yoga studio,"('us',)",,()
3149,how many members does lmcu have,=,400000.0,,member,"('lmcu',)",,()
4293,how many members in pty ltd,=,50.0,,member,"('pty', 'pty ltd')",,()
2073,how many hyundai venue sold in india,=,9342.0,,hyundai venue,"('india',)",sold,()
2137,how many iebc commissioners are there in kenya,=,7.0,,iebc commissioner,"('kenya',)",,"('there',)"
1922,how many hgvs are there in the uk,=,500300.0,,,"('uk', 'hgvs')",,"('there',)"
3905,how many obi stores in europe,=,668.0,,obi store,"('europe',)",,()
1953,how many hispanic billionaires are there,=,100.0,,hispanic billionaire,(),,"('there',)"
5339,how many usns hospital ship,=,24.0,,hospital ship,(),,"('usns',)"
5381,how many students does ucf have,=,69525.0,,student,(),ucf,()
2165,how many infiniti dealers in usa,=,51.0,,infiniti dealer,"('usa',)",,()
459,how many nfl teams are in california,=,22.0,,nfl team,"('california',)",,()
287,how many asanas are there in surya namaskar,=,12.0,,asana,"('surya namaskar', 'surya')",,"('there',)"
2557,how many jio phone users in india,=,387500000.0,,jio phone user,"('india',)",,()
3985,how many oklahoma sooners are in the 2020 nfl draft,=,4.0,,sooner,"('oklahoma', 'nfl')",,"('draft', '2020')"
221,how many aol users,=,500000.0,,user,"('aol',)",,()
4451,how many bcba's are there,=,22274.0,,,"('bcba',)",,"(""'s"", 'there')"
1415,how many old etonian prime ministers,=,9.0,,old etonian prime minister,(),,()
5608,how many whl teams are in saskatchewan,=,12.0,,whl team,"('saskatchewan',)",,()
1781,how many gq issues a year,=,11.0,,gq,(),issues,"('year',)"
189,how many alters does tara have,=,3.0,,alter,"('tara',)",,()
1252,how many trophies have lfc won,=,6.0,,trophy,(),won,()
3111,how many lgfa clubs in ireland,=,1000.0,,lgfa club,"('ireland',)",,()
3640,how many ngos are in india,=,42000.0,,ngo,"('india',)",,()
2302,how many inuit words for snow,=,50.0,,inuit word,(),,"('snow',)"
3629,how many net carbs in broccoli,=,6.0,,net carb,"('broccoli',)",,()
1255,how many efw plants are there in the uk,=,58.0,,efw plant,"('uk',)",,"('there',)"
847,how many cpas are there in the us,=,654375.0,,cpa,"('us',)",,"('there',)"
4045,how many orphans in africa,=,50000000.0,,orphan,"('africa',)",,()
962,how many dams are on the columbia river,=,274.0,,dam,"('columbia',)",,"('river',)"
647,how many cbs all access subscribers,=,4000000.0,,access subscriber,"('cbs',)",,()
235,how many aol subscribers are there,=,2200000.0,,subscriber,"('aol',)",,"('there',)"
4806,how many small businesses in the us,=,30700000.0,,small business,"('us',)",,()
1825,how many gwinnett county high schools,=,26.0,,gwinnett county,(),,"('schools', 'high')"
2991,how many kva is 1 kw,=,200.0,,kva,(),,"('1', 'kw')"
987,how many deer are in the us,=,29500000.0,,deer,"('us',)",,()
709,how many cegeps in montreal,=,48.0,,cegep,"('montreal',)",,()
5431,how many vegetarians in the us,=,8000000.0,,vegetarian,"('us',)",,()
2335,how many counties in iowa,=,99.0,,county,"('iowa',)",,()
2975,how many kung fu panda movies are there going to be,=,3.0,,kung,"('fu',)",going,"('movies', 'there', 'to', 'panda')"
639,how many ca are required in india,=,250000.0,,,"('india',)",required,()
1591,how many mncs are there in india,=,40000.0,,mnc,"('india',)",,"('there',)"
938,how many cwd cases in mississippi,=,19.0,,cwd case,"('mississippi',)",,()
4146,how many peugeot 205 are there left,=,4419.0,,,"('peugeot',)",left,"('there', '205')"
5960,how many zaxby's are in the world,=,900.0,,world,"('zaxby',)",,"(""'s"",)"
5268,how many ukrainian in usa,=,961113.0,,,"('ukrainian', 'usa')",,()
5881,how many ymcas are there in the us,=,2700.0,,ymca,"('us',)",,"('there',)"
2655,how many jsf will be built,=,37.0,,jsf,(),built,()
686,how many cctv cameras in us,=,15.28,,cctv camera,(),,()
60,how many aegon targaryen,=,8.0,,,"('aegon',)",,"('targaryen',)"
3165,how many london bridges are there,=,35.0,,london bridge,(),,"('there',)"
4238,how many ppc members,=,30000.0,,ppc member,(),,()
1080,how many dnr officers are in minnesota,=,149.0,,dnr officer,"('minnesota',)",,()
166,how many alaska native corporations are there,=,198.0,,alaska native corporation,(),,"('there',)"
4810,how many smbs in india,=,42500000.0,,smb,"('india',)",,()
5285,how many unfilled jobs in the us,=,7000000.0,,unfilled job,"('us',)",,()
4688,how many sba loans have been processed,=,26919.0,,sba loan,(),processed,()
3799,how many nato members are there,=,30.0,,member,"('nato',)",,"('there',)"
5245,how many uighurs live in china,=,10000000.0,,uighur,"('china',)",live,()
2775,how many adc village in tripura,=,1662.0,,adc village,"('tripura',)",,()
2602,how many johannesburg airport,=,2.0,,airport,"('johannesburg', 'johannesburg airport')",,()
2039,how many huckleberry finn books are there,=,4.0,,finn book,(),,"('there', 'huckleberry')"
3918,how many ocbc branches in singapore,=,44.0,,branch,"('singapore',)",ocbc,()
822,how many ceu for cnor,=,125.0,,ceu,(),,"('cnor',)"
3404,how many mpesa agents in kenya,=,160000.0,,agent,"('kenya',)",mpesa,()
3787,how many levels in nso,=,2.0,,level,"('nso',)",,()
5406,how many vas deferens are there,=,2.0,,vas deferen,(),,"('there',)"
3249,how many mayans are left,=,6000000.0,,mayan,(),left,()
4105,how many palm trees are in california,=,2500.0,,palm tree,"('california',)",,()
3568,how many nba players are in the bubble,=,22.0,,player,"('nba',)",,"('bubble',)"
3228,how many airports in lyon france,=,2.0,,airport,"('france', 'lyon')",,()
2140,how many societies in ieee,=,39.0,,society,"('ieee',)",,()
4892,how many srt4s were made,=,1175.0,,srt4,(),made,()
4932,how many serial killers are from indiana,=,8.0,,serial killer,"('indiana',)",,()
1072,how many dnf has hamilton had,=,10.0,,dnf,"('hamilton',)",,()
444,how many bds seats in kerala,=,2077.0,,bds seat,"('kerala',)",,()
1041,how many divisions occur in meiosis,=,2.0,,division,(),occur,"('meiosis',)"
776,how many electrons does cl have,=,18.0,,electron,(),cl,()
1651,how many function in python,=,3.0,,function,"('python',)",,()
2222,how many iihm in india,=,9.0,,,"('iihm', 'india')",,()
1176,how many customers does dwp have,=,20000000.0,,customer,"('dwp',)",dwp,()
3494,how many haroof e muqattaat in quran,=,29.0,,haroof e muqattaat,"('quran',)",,()
612,how many bws stores in australia,=,1100.0,,bws store,"('australia',)",,()
2109,how many icici branches in india,=,5275.0,,icici branch,"('india',)",,()
5843,how many taxi drivers in the us,=,207920.0,,taxi driver,"('us',)",,()
1736,how many guns are in the united states,=,120.5,,gun,"('united', 'the united states')",,()
4418,how many words in qwerty,=,22.0,,word,"('qwerty',)",,()
257,how many arabic letters are there,=,28.0,,arabic letter,(),,"('there',)"
2120,how many branches of idbi bank in maharashtra,=,530.0,,branch,"('idbi bank', 'maharashtra')",,()
5946,how many zig zag wraps are in a box,=,50.0,,wrap,(),zig,"('box', 'zag')"
3265,how many mclaren p1 were made,=,375.0,,mclaren p1,(),made,()
3158,how many lords in england,=,26.0,,lord,"('england',)",,()
5691,how many ww1 veterans are still alive,=,110.0,,ww1 veteran,(),,"('alive', 'still')"
2711,how many wins does jim have,=,899.0,,win,"('jim',)",,()
4888,how many srm college in chennai,=,3.0,,srm college,"('chennai',)",,()
2584,how many joyo kanji are there,=,2136.0,,joyo,"('joyo kanji',)",,"('there',)"
347,how many auxiliary verbs are in english *,=,10.0,,auxiliary verb,"('english',)",,()
654,how many cbs affiliates are there,=,228.0,,affiliate,"('cbs',)",,"('there',)"
3189,how many languages are spoken in china,=,302.0,,language,"('china',)",spoken,()
4901,how many hospitals does ssm have,=,23.0,,hospital,(),ssm,()
1996,how many hof did mike tyson fight,=,2.0,,hof,"('mike tyson', 'mike')",,"('fight',)"
136,how many aicp members are there,=,46398.0,,aicp member,(),,"('there',)"
4909,how many supreme court justices are there,=,6.0,,supreme court justice,(),,"('there',)"
829,how many coke cans make a pound,=,32.0,,coke can,(),make,"('pound',)"
5207,how many ucs are there in california,=,10.0,,uc,"('california',)",,"('there',)"
2530,how many kgf chapters are there,=,2.0,,kgf chapter,(),,"('there',)"
851,how many cpg islands in human genome,=,30000.0,,cpg island,(),,"('human', 'genome')"
3656,how many members does nhif have,=,7000000.0,,member,"('nhif',)",,()
4041,how many oak trees to build hms victory,=,2000.0,,oak tree,"('hms',)",build,"('victory', 'to')"
5954,how many episodes of zatch bell,=,150.0,,episode,"('zatch bell', 'zatch')",,()
4397,how many wwe wrestlers have died in the ring,=,16.0,,wwe wrestler,(),died,"('ring',)"
3255,how many copies did mbdtf sell,=,1351000.0,,copy,"('mbdtf',)",sell,()
63,how many types of aloe vera,=,400.0,,type,"('aloe',)",,"('vera',)"
4993,how many tectonic plates cover the earth,=,7.0,,tectonic plate,"('earth',)",cover,()
3125,how many libraries does columbia have,=,21.0,,library,"('columbia',)",,()
4856,how many sororities are there in the us,=,26.0,,sorority,"('us',)",,"('there',)"
788,how many cme credits for np,=,20.0,,cme credit,"('np',)",,()
5004,how many tenses are there in spanish,=,7.0,,tense,"('spanish',)",,"('there',)"
5832,how many yahoo accounts are there,=,227800000.0,,account,"('yahoo',)",,"('there',)"
1942,how many hindu countries in the world,=,3.0,,hindu country,(),,"('world',)"
3386,how many moons does neptune have,=,14.0,,moon,"('neptune',)",,()
1521,how many festivals in japan,=,200000.0,,festival,"('japan',)",,()
1065,how many types of dmfs are there in the us,=,5.0,,type,"('us',)",,"('dmfs', 'there')"
3849,how many nxt takeovers a year,=,200.0,,nxt,(),takeovers,"('year',)"
1768,how many golf courses in the us,=,15500.0,,golf course,"('us',)",,()
4197,how many players are in the nba,=,15.0,,player,"('nba',)",,()
3987,how many oku in malaysia,=,197519.0,,oku,"('malaysia',)",,()
2883,how many ward in kmc,=,141.0,,ward,"('kmc',)",,()
5820,how many strange coins for xur,=,13.0,,strange coin,"('xur',)",,()
4779,how many train siwan to delhi,=,5.0,,train,"('delhi', 'siwan')",,"('to',)"
4433,how many rates are in the navy,=,93.0,,rate,(),,"('navy',)"
3909,how many oblasts in ukraine,=,24.0,,oblast,"('ukraine',)",,()
