"qid","query","answer_norm","comments","category","instances_req","qualifier_req"
3282,"how many positive cases in florida today",5750000,"Time-bound","health",0,1
1861,"how many honda cbx were made",41000,"one serac result answer, without aggregation","industry",0,1
650,"how many jeep yj were made",557412,,"industry",0,1
265,"how many ppv buys for ufc 250",90000,,"industry",0,1
3961,"how many employees does vmc have",108,,"organization",0,1
881,"how many azs in us-east-1",6,,"organization",0,1
3587,"how many trains does mrt have",579,,"industry",0,1
3822,"how many ukrainian soldiers have died",4629,"ambigous, multiple counts","politics",0,1
2511,"how many kaepernick shoes were sold",,"Non-entity","other",,
1170,"how many seats in honda crz",,"Non-entity","other",,
1940,"how many eating utensils are in the white house",,"Non-entity","other",,
1205,"mamy czas",,"Invalid question","other",,
354,"how many angles does a pentagon have",,"Non-entity","other",,
2990,"how many msq in arr",,"obscure","other",,
1128,"how many coke stocks are there",,"Non-entity.","other",,
724,"how many shares of ahbeesee were sold",,"Non-entity","other",,
1507,"how many irelands can fit in texas",,"not count related","other",,
2145,"how many floors are in the white house",,"Non-entity","other",,
2688,"how many kyber to stake",,"Non-entity","other",,
1579,"how many calories in giant jbc meal",,"Non-entity","other",,
1629,"how many times nrc in india",,"Non-entity","other",,
3207,"how many shots pcp air rifle",,"Non-entity","other",,
1549,"how many stocks in ivv",,"Non-entity","other",,
2520,"how many kayle in tft",,"Non-entity","other",,
3793,"how many kilometers udupi to malpe",,"Non-entity","other",,
194,"how many credits is nqf level 7",,"Non-entity","other",,
3475,"how many different rsa-1024 keys are there",,"Non-entity","other",,
4601,"how many km from tvm to kanyakumari",,"Non-entity","other",,
2668,"how many calories in kuey teow",,"Non-entity","other",,
2547,"how many calories are in ketchup",,"Non-entity","other",,
4642,"how many kilometres from zuurbekom to johannesburg",,"Non-entity","other",,
3219,"how many calories does pfc have",,"Non-entity","other",,
4523,"how many kilometres from moyale to ethiopia",,"Non-entity","other",,
2237,"how many calories in gfs cabbage rolls",,"Non-entity","other",,
3176,"how many nmc progression points are there",,"Non-entity","other",,
827,"how many atb assist materia",,"Non-entity","other",,
