"qid","query","answer_norm","category","time_variant","snippet_instances","snippet_has_qualifier","instances_req","qualifier_req"
6342,"how many data fields in dso",16,"other",,,,,
7874,"how many haploid cells are produced during meiosis i",4,"other",,,,,
10894,"how many miles from auckland to wellington",305,"other",,,,,
11252,"how many miles from phoenix to sedona",119,"other",,,,,
9208,"how many points in ppr league",30,"other",,,,,
5696,"how many rooms does aulani have",359,"other",,,,,
11345,"how many rooms in vdara las vegas",1495,"other",,,,,
10523,"how many units of xeomin for glabellar",20,"other",,,,,
8328,"knn how many features",2,"other",,,,,
10390,"wcf how many instances",1,"other",,,,,
