"qid","query","answer.default","answer_norm","answer_relation","answer_metric","comments","category","instances_req","qualifier_req","aggregate","prediction","cardinals","tf_answer","precision","correctness","std","relaxed_precision","equivalent","subgroups","unrelated","equivalent_ids","subgroups_ids","unrelated_ids"
4439,"how many govt schools in delhi",2400,2400,"=",,,"education",1,1,"weighted",449,"[(449.0, 0.99)]","[('19', 0.99, '449 schools', 449.0)]",0,0.19,,0,"[('19', '449 schools')]",,,,,
3625,"how many students at harvard",23731,23731,"=",,,"education",1,1,"weighted",31655,"[(31655.0, 0.99), (1990.0, 0.74)]","[('5', 0.99, 'approximately 31,655', 31655.0), ('46', 0.74, 'Approximately 1,990', 1990.0)]",0,0.75,20976.32,0,"[('5', 0.99, 'approximately 31,655', 31655.0)]","[('46', 0.74, 'Approximately 1,990', 1990.0)]","[]",,,
1819,"how many osmond brothers are still alive",2,2,"=",,"Count not available, instances helpful","entertainment",1,1,"weighted",9,"[(9.0, 0.98), (9.0, 0.98), (7.0, 0.57), (9.0, 0.96), (9.0, 0.93), (9.0, 0.9), (7.0, 0.96), (9.0, 0.96), (9.0, 0.79), (7.0, 0.54)]","[('0', 0.98, 'nine siblings', 9.0), ('2', 0.98, 'nine Osmonds', 9.0), ('8', 0.57, '7 brothers', 7.0), ('10', 0.96, 'nine children', 9.0), ('16', 0.93, 'nine children', 9.0), ('23', 0.9, 'nine siblings', 9.0), ('24', 0.96, '7 brothers', 7.0), ('25', 0.96, 'nine siblings', 9.0), ('27', 0.79, 'nine Osmonds', 9.0), ('32', 0.54, '7 brothers', 7.0)]",0,0.22,0.97,0,"[('0', 0.98, 'nine siblings', 9.0), ('2', 0.98, 'nine Osmonds', 9.0), ('10', 0.96, 'nine children', 9.0), ('25', 0.96, 'nine siblings', 9.0), ('16', 0.93, 'nine children', 9.0), ('23', 0.9, 'nine siblings', 9.0), ('27', 0.79, 'nine Osmonds', 9.0), ('8', 0.57, '7 brothers', 7.0), ('24', 0.96, '7 brothers', 7.0), ('32', 0.54, '7 brothers', 7.0)]","[]","[]",,,
1817,"how many orville episodes are there",26,26,"=",,"In google KG ","entertainment",1,1,"weighted",14,"[(14.0, 0.98), (12.0, 0.94), (14.0, 0.98), (10.0, 0.98), (36.0, 0.7)]","[('3', 0.98, '14 episodes', 14.0), ('5', 0.94, '12 episodes', 12.0), ('6', 0.98, '14 episodes', 14.0), ('14', 0.98, '10 episodes', 10.0), ('39', 0.7, '36 Metascore', 36.0)]",0,0.54,10.64,0,"[('3', 0.98, '14 episodes', 14.0), ('6', 0.98, '14 episodes', 14.0), ('5', 0.94, '12 episodes', 12.0), ('14', 0.98, '10 episodes', 10.0)]","[]","[('39', 0.7, '36 Metascore', 36.0)]",,,
2200,"how many gacha life youtubers are there",146,146,"=",,"Time-bound","entertainment",1,1,"weighted",8,"[(8.0, 0.96)]","[('10', 0.96, '8 characters', 8.0)]",0,0.05,,0,"[('10', '8 characters')]",,,,,
1989,"how many elton john albums are there",79,79,"=",,"aggregation not available, list of album categories with counts available","entertainment",1,1,"weighted",31,"[(31.0, 0.99)]","[('0', 0.99, '31 studio albums', 31.0)]",0,0.39,,0,"[('0', '31 studio albums')]",,,,,
3217,"how many peter pan movies are there",5,5,"=",,"has semantic qualifiers, adaptaion vs series","entertainment",1,1,"weighted",6,"[(6.0, 0.9), (1000.0, 0.87)]","[('1', 0.9, 'six films', 6.0), ('2', 0.87, '1000 peter pan movies', 1000.0)]",0,0.83,702.86,0,"[('1', 0.9, 'six films', 6.0)]","[]","[('2', 0.87, '1000 peter pan movies', 1000.0)]",,,
1806,"how many opm episodes are there",24,24,"=",,,"entertainment",1,1,"weighted",2,"[(24.0, 0.86), (12.0, 0.99), (2.0, 0.76), (2.0, 0.97), (2.0, 0.53), (4.0, 0.82), (2.0, 0.61), (2.0, 0.96)]","[('1', 0.86, '24 episodes', 24.0), ('2', 0.99, '12 episodes', 12.0), ('4', 0.76, '2 Seasons', 2.0), ('7', 0.97, 'two seasons', 2.0), ('14', 0.53, 'Two seasons', 2.0), ('17', 0.82, 'four possibilities', 4.0), ('36', 0.61, 'Two', 2.0), ('42', 0.96, 'two Spider-Man', 2.0)]",0,0.08,7.96,0,"[('7', 0.97, 'two seasons', 2.0), ('42', 0.96, 'two Spider-Man', 2.0), ('4', 0.76, '2 Seasons', 2.0), ('36', 0.61, 'Two', 2.0), ('14', 0.53, 'Two seasons', 2.0)]","[]","[('1', 0.86, '24 episodes', 24.0), ('2', 0.99, '12 episodes', 12.0), ('17', 0.82, 'four possibilities', 4.0)]",,,
4578,"how many rick and morty episodes",51,51,"=",,,"entertainment",1,1,"weighted",10,"[(51.0, 0.98), (51.0, 0.99), (10.0, 0.99), (10.0, 0.99), (10.0, 0.93), (70.0, 0.97), (11.0, 0.67), (7.0, 0.78), (10.0, 0.87), (14.0, 0.95), (10.0, 0.97), (10.0, 0.99)]","[('0', 0.98, '51 episodes', 51.0), ('1', 0.99, '51 episodes', 51.0), ('3', 0.99, '10 episodes', 10.0), ('8', 0.42, '20 episodes into its 70-episode order', 20.0), ('8', 0.42, '20 episodes into its 70-episode order', 70.0), ('11', 0.99, '10 episodes', 10.0), ('15', 0.42, '20 episodes into its 70-episode order', 20.0), ('15', 0.42, '20 episodes into its 70-episode order', 70.0), ('16', 0.93, '10 Episodes', 10.0), ('17', 0.97, '70 episodes', 70.0), ('20', 0.67, '11-episode', 11.0), ('21', 0.78, 'seven', 7.0), ('22', 0.87, '10 episodes', 10.0), ('37', 0.95, '14 Episodes', 14.0), ('41', 0.97, '10 episodes', 10.0), ('42', 0.33, '10 episodes', 10.0), ('44', 0.99, '10 episodes', 10.0)]",0,0.2,21.87,0,"[('3', 0.99, '10 episodes', 10.0), ('11', 0.99, '10 episodes', 10.0), ('44', 0.99, '10 episodes', 10.0), ('41', 0.97, '10 episodes', 10.0), ('16', 0.93, '10 Episodes', 10.0), ('22', 0.87, '10 episodes', 10.0), ('20', 0.67, '11-episode', 11.0), ('21', 0.78, 'seven', 7.0)]","[]","[('0', 0.98, '51 episodes', 51.0), ('1', 0.99, '51 episodes', 51.0), ('17', 0.97, '70 episodes', 70.0), ('37', 0.95, '14 Episodes', 14.0)]",,,
2858,"how many mcu movies is captain america in",11,11,"=",,,"entertainment",1,1,"weighted",4,"[(27.0, 0.97), (4.0, 0.74), (10.0, 0.98), (5.0, 0.54), (4.0, 0.85), (2.0, 0.97), (27.0, 0.91), (2.0, 0.94)]","[('1', 0.97, '27 MCU movies', 27.0), ('4', 0.74, 'four of the Avengers movies', 4.0), ('7', 0.44, '3-Movie Collection', 3.0), ('16', 0.98, '10 Marvel movies', 10.0), ('22', 0.32, '3 |', 3.0), ('26', 0.54, '5 DC Villains', 5.0), ('29', 0.85, '4 Captain', 4.0), ('38', 0.97, 'two fight', 2.0), ('46', 0.91, '27 MCU Movies', 27.0), ('47', 0.94, 'two badass ladies', 2.0)]",0,0.36,10.71,0,"[('29', 0.85, '4 Captain', 4.0), ('4', 0.74, 'four of the Avengers movies', 4.0), ('26', 0.54, '5 DC Villains', 5.0), ('38', 0.97, 'two fight', 2.0), ('47', 0.94, 'two badass ladies', 2.0)]","[]","[('1', 0.97, '27 MCU movies', 27.0), ('16', 0.98, '10 Marvel movies', 10.0), ('46', 0.91, '27 MCU Movies', 27.0)]",,,
685,"how many abyssian exam pass",5,5,"=",,,"entertainment",1,0,"weighted",,"[]","[]",0,,,0,,,,,,
1758,"how many episodes of handmaid's tale",46,46,"=",,,"entertainment",1,1,"weighted",10,"[(46.0, 0.99), (10.0, 0.99), (13.0, 0.95), (13.0, 0.95), (13.0, 0.98), (10.0, 0.96), (10.0, 0.76), (5.0, 0.91), (10.0, 0.99), (8.0, 0.99), (10.0, 0.85), (10.0, 0.96), (13.0, 0.87), (3.0, 0.82), (10.0, 0.99), (4.0, 0.89)]","[('0', 0.99, '46 episodes', 46.0), ('1', 0.99, '10 episodes', 10.0), ('2', 0.37, '5. Seasons 1 and 4 each had 10 episodes', 5.0), ('2', 0.37, '5. Seasons 1 and 4 each had 10 episodes', 1.0), ('2', 0.37, '5. Seasons 1 and 4 each had 10 episodes', 10.0), ('4', 0.95, '13 episodes', 13.0), ('8', 0.39, ""four of The Handmaid's Tale"", 4.0), ('13', 0.95, '13 episodes', 13.0), ('15', 0.98, '13 episodes', 13.0), ('16', 0.96, '10 episodes', 10.0), ('17', 0.76, '10 episodes', 10.0), ('19', 0.91, '5 release date', 5.0), ('20', 0.99, '10 episodes', 10.0), ('21', 0.99, 'eight episodes', 8.0), ('22', 0.85, '10 episodes', 10.0), ('24', 0.96, '10 ended', 10.0), ('27', 0.87, '13 episodes', 13.0), ('31', 0.82, '3 episodes', 3.0), ('33', 0.99, '10 episodes', 10.0), ('35', 0.44, '4 Episode Release Guide News', 4.0), ('37', 0.42, 'nine episodes', 9.0), ('38', 0.89, '4 Episode 6', 4.0), ('42', 0.42, '10 episodes', 10.0)]",0,0.22,9.65,0,"[('1', 0.99, '10 episodes', 10.0), ('20', 0.99, '10 episodes', 10.0), ('33', 0.99, '10 episodes', 10.0), ('16', 0.96, '10 episodes', 10.0), ('24', 0.96, '10 ended', 10.0), ('22', 0.85, '10 episodes', 10.0), ('17', 0.76, '10 episodes', 10.0), ('4', 0.95, '13 episodes', 13.0), ('13', 0.95, '13 episodes', 13.0), ('15', 0.98, '13 episodes', 13.0), ('21', 0.99, 'eight episodes', 8.0), ('27', 0.87, '13 episodes', 13.0)]","[('19', 0.91, '5 release date', 5.0), ('31', 0.82, '3 episodes', 3.0), ('38', 0.89, '4 Episode 6', 4.0)]","[('0', 0.99, '46 episodes', 46.0)]",,,
2941,"how many members does mnl48 have",45,45,"=",,,"entertainment",1,1,"weighted",23,"[(30.0, 0.99), (98.0, 0.9), (86.0, 0.74), (5.0, 0.8), (5.0, 0.63), (23.0, 0.92), (9.0, 0.9)]","[('1', 0.99, '30 members', 30.0), ('5', 0.9, '98 members', 98.0), ('9', 0.74, '86 members', 86.0), ('22', 0.8, '5 members', 5.0), ('24', 0.63, '5 member', 5.0), ('25', 0.38, '16 members', 16.0), ('28', 0.92, '23 members', 23.0), ('43', 0.9, '9 member', 9.0)]",0,0.51,39.15,0,"[('28', 0.92, '23 members', 23.0)]","[('22', 0.8, '5 members', 5.0), ('24', 0.63, '5 member', 5.0), ('43', 0.9, '9 member', 9.0)]","[('1', 0.99, '30 members', 30.0), ('5', 0.9, '98 members', 98.0), ('9', 0.74, '86 members', 86.0)]",,,
351,"how many albums does eminem have",16,16,"=",,"multiple counts for semantic qualifiers","entertainment",1,1,"weighted",11,"[(11.0, 0.97), (49100000.0, 0.65), (11.0, 0.98), (7.0, 0.97), (10.0, 0.98), (19.0, 0.96), (16.0, 0.98)]","[('3', 0.97, '11 albums', 11.0), ('4', 0.65, '49.1 million albums', 49100000.0), ('8', 0.98, '11 albums', 11.0), ('10', 0.97, '7 albums', 7.0), ('11', 0.98, '10 studio albums', 10.0), ('12', 0.96, '19 albums', 19.0), ('22', 0.98, 'sixteen albums', 16.0)]",0,0.69,18558050.96,0,"[('8', 0.98, '11 albums', 11.0), ('3', 0.97, '11 albums', 11.0), ('10', 0.97, '7 albums', 7.0), ('11', 0.98, '10 studio albums', 10.0)]","[]","[('4', 0.65, '49.1 million albums', 49100000.0), ('12', 0.96, '19 albums', 19.0), ('22', 0.98, 'sixteen albums', 16.0)]",,,
3796,"how many rashtriy udyan in india",104,104,"=",,"list available, time-bound","geography",1,1,"weighted",,"[]","[]",0,,,0,,,,,,
1254,"how many dhq in pakistan",34,34,"=",,,"health",1,1,"weighted",,"[]","[]",0,,,0,,,,,,
1916,"how many cases of cjd in uk",65,65,"=",,"Time-bound, muliple counts by year","health",1,1,"weighted",178,"[(178.0, 0.63)]","[('4', 0.63, '178 cases', 178.0)]",0,0.37,,0,"[('4', '178 cases')]",,,,,
2871,"how many mdrt in singapore",4876,4876,"=",,"Not available in result snippet. https://www.mdrt.org/globalassets/2-2021-top-10-countries-by-members.pdf","organization",1,1,"weighted",70,"[(70.0, 0.63)]","[('22', 0.63, '70 個國家/地區的 500 多間公司', 70.0)]",0,0.01,,0,"[('22', '70 個國家/地區的 500 多間公司')]",,,,,
1160,"how many crm companies are there",73,73,"=",,"instances In wikipedia, counts are not available","industry",1,1,"weighted",379,"[(300.0, 0.6), (379.0, 0.52), (40500.0, 0.87)]","[('14', 0.6, '300 CRM software companies', 300.0), ('18', 0.52, '379 CRM systems', 379.0), ('20', 0.87, 'Approximately 40,500', 40500.0)]",0,0.19,23186.71,0,"[('18', 0.52, '379 CRM systems', 379.0), ('14', 0.6, '300 CRM software companies', 300.0)]","[]","[('20', 0.87, 'Approximately 40,500', 40500.0)]",,,
1119,"how many cng pump in gorakhpur",21,21,"=",,,"industry",1,1,"weighted",2,"[(2.0, 0.71)]","[('24', 0.71, 'two CNG pumps', 2.0), ('42', 0.45, '2 CNG Pumps', 2.0)]",0,0.1,,0,"[('24', 'two CNG pumps')]",,,,,
895,"how many bars are in milwaukee",3043,3043,"=",,,"industry",1,1,"weighted",,"[]","[]",0,,,0,,,,,,
4548,"how many peugeot dealers are there in the uk",179,179,"=",,"old number","industry",1,1,"weighted",,"[]","[]",0,,,0,,,,,,
1798,"how many onomatopoeia in japanese",1000,1000,"=",,,"language",1,1,"weighted",5,"[(5.0, 0.6), (5.0, 0.58), (50.0, 0.95)]","[('0', 0.6, 'five types', 5.0), ('1', 0.58, 'five main types', 5.0), ('26', 0.95, 'fifty sounds', 50.0)]",0,0.01,25.98,0,"[('0', 0.6, 'five types', 5.0), ('1', 0.58, 'five main types', 5.0)]","[]","[('26', 0.95, 'fifty sounds', 50.0)]",,,
1413,"how many ied attacks in afghanistan",21637,21637,"=",,"Time-bound","news",1,1,"weighted",170,"[(26.0, 0.52), (183.0, 0.52), (170.0, 0.52)]","[('4', 0.52, '26 August 2021, at 17:50 local time (13:20 UTC), during the evacuation from Afghanistan. At least 183 people were killed, including 170 Afghan civilians', 26.0), ('4', 0.52, '26 August 2021, at 17:50 local time (13:20 UTC), during the evacuation from Afghanistan. At least 183 people were killed, including 170 Afghan civilians', 183.0), ('4', 0.52, '26 August 2021, at 17:50 local time (13:20 UTC), during the evacuation from Afghanistan. At least 183 people were killed, including 170 Afghan civilians', 170.0)]",0,0.01,87.13,0,"[('4', 0.52, '26 August 2021, at 17:50 local time (13:20 UTC), during the evacuation from Afghanistan. At least 183 people were killed, including 170 Afghan civilians', 170.0), ('4', 0.52, '26 August 2021, at 17:50 local time (13:20 UTC), during the evacuation from Afghanistan. At least 183 people were killed, including 170 Afghan civilians', 183.0)]","[('4', 0.52, '26 August 2021, at 17:50 local time (13:20 UTC), during the evacuation from Afghanistan. At least 183 people were killed, including 170 Afghan civilians', 26.0)]","[]",,,
230,"how many homicides in milwaukee 2019",98,98,"=",,,"news",1,0,"weighted",189,"[(190.0, 0.93), (97.0, 0.97), (190.0, 0.52), (189.0, 0.97), (97.0, 0.82), (155.0, 0.59), (190.0, 0.97), (189.0, 0.98), (189.0, 0.96), (147.0, 0.55), (167.0, 0.6)]","[('10', 0.93, '190 homicides', 190.0), ('11', 0.97, '97 homicides', 97.0), ('16', 0.52, '190 homicides', 190.0), ('17', 0.97, '189 homicides', 189.0), ('18', 0.82, '97 homicides', 97.0), ('22', 0.59, '155 homicides', 155.0), ('24', 0.97, '190 homicides', 190.0), ('29', 0.98, '189 homicides', 189.0), ('31', 0.96, '189 homicides', 189.0), ('34', 0.55, '147 murders', 147.0), ('39', 0.6, '167 gun-related murders', 167.0)]",0,0.52,36.41,0,"[('29', 0.98, '189 homicides', 189.0), ('17', 0.97, '189 homicides', 189.0), ('31', 0.96, '189 homicides', 189.0), ('10', 0.93, '190 homicides', 190.0), ('16', 0.52, '190 homicides', 190.0), ('22', 0.59, '155 homicides', 155.0), ('24', 0.97, '190 homicides', 190.0), ('34', 0.55, '147 murders', 147.0), ('39', 0.6, '167 gun-related murders', 167.0)]","[('11', 0.97, '97 homicides', 97.0), ('18', 0.82, '97 homicides', 97.0)]","[]",,,
1092,"how many restaurants does coke have",,,"=",,"instances (costa coffee) may be helpful, count unavailable","industry",1,1,"weighted",,"[]","[]",0,,,0,,,,,,
3801,"how many ugg brands in australia",,,"=",,"different user intent-fake brands","organization",1,0,"weighted",,"[]","[]",0,,,0,,,,,,
3325,"how many pwc offices in australia",9,9,"=",,"by entities, no counts","organization",1,0,"weighted",,"[]","[]",0,,,0,,,,,,
3439,"how many rixos in dubai",4,4,"=",,,"organization",1,0,"weighted",414,"[(414.0, 0.67)]","[('0', 0.67, '414 stylish rooms', 414.0), ('21', 0.33, '17 kilometres', 17.0)]",0,0.01,,0,"[('0', '414 stylish rooms')]",,,,,
1379,"how many ibis hotels in paris",50,50,"=",,,"organization",1,0,"weighted",100,"[(55.0, 0.93), (100.0, 0.95), (100.0, 0.71)]","[('3', 0.93, '55 Ibis Hotels', 55.0), ('8', 0.95, '100 hotels', 100.0), ('9', 0.71, '100 hotels', 100.0)]",0,0.5,25.98,0,"[('8', 0.95, '100 hotels', 100.0), ('9', 0.71, '100 hotels', 100.0)]","[('3', 0.93, '55 Ibis Hotels', 55.0)]","[]",,,
