qid,query,answer_norm,answer_enum
222,how many aot books are there,24,"[Attack on Titan Vol. 1,Attack on Titan Vol. 2,Attack on Titan Vol. 3,Attack on Titan Vol. 4,Attack on Titan Vol. 5,Attack on Titan Vol. 6,Attack on Titan Vol. 7,Attack on Titan Vol. 8,Attack on Titan Vol. 9,Attack on Titan Vol. 10]"
2447,how many jane austen movies are there,24,"[Sense and Sensibility, Pride and Prejudice, Mansfield Park, Emma, Northanger Abbey, Persuasion, Love & Friendship]"
2649,how many jrr tolkien books are there,34,"[The Hobbit, the Fellowship of the Ring, The two Towers, The Return of the King, A Middle English Vocabulary, The Adventures of Tom Bombadil, Bilbo's Last Song, The Silmarillion, The Book of Lost Tales 1, The Book of Lost Tales 2] "
3804,how many ntr movies,39,"[Aravindha Sametha, Jai Lava Kusa, Janatha Garage, Nannaku Prematho, Temper]"
5617,how many wives did solomon have,2,"[Naamah, Pharaoh�s daughter]"
2349,how many films irrfan khan acted,78,"[Angrezi Medium, Blackmail, Hindi Medium, Talvar, Piku, Karwaan, Puzzle, Qarib Qarib Single, Hindi Medium, Lunchbox]"
2350,how many irrfan khan movies,78,"[Angrezi Medium, Blackmail, Hindi Medium, Talvar, Piku, Karwaan, Puzzle, Qarib Qarib Single, Hindi Medium, Lunchbox]"
2637,how many novels did agatha christie write,78,"[The Mysterious Affair at Styles, Peril at End House, Death on the Nile, And Then There Were None, The Secret of Chimneys, The Murder of Roger Ackroyd, The Big Four, The Murder at the Vicarage, Murder on the Orient Express, Three Act Tragedy]"
2639,how many novels did stephen king write,91,"[The Shining, Carrie, The Stand, The Long Walk, Cujo, Rage, The Dead Zone, Firestarter, Roadwork, The Running Man]"
2537,how many john wayne movies,92,"[Dark Command, Reap the Wild Wind, Wake of the Red Witch, Fort Apache, She Wore a Yellow Ribbon]"
2538,how many john wayne movies are there,92,"[Dark Command, Reap the Wild Wind, Wake of the Red Witch, Fort Apache, She Wore a Yellow Ribbon, Rio Grande, Red River, Flying Tigers, The Fighting Seabees, They Were Expendable]"
3513,how many movies is morgan freeman in,94,"[Driving Miss Daisy, Glory, Robin Hood: Prince of Thieves, Unforgiven, The Shawshank Redemption, Attica, The Pawnbroker,  Seven, Bruce Almighty, Million Dollar Baby]"
