qid,query,prediction,cardinals,tf_answer,relaxed_precision,equivalent_ids,subgroups_ids,unrelated_ids
1671,how many gap inc stores are there,3100,"[(3100.0, 0.85)]","[('0', 0.85, '3,100', 3100.0), ('36', 0.26, '1 year ago', 1.0)]",1,,,
1209,how many ghosts visit ebenezer scrooge,4,"[(4.0, 0.86), (4.0, 0.99), (4.0, 0.98), (4.0, 0.99), (4.0, 0.92), (4.0, 0.76), (4.0, 0.89), (3.0, 0.98), (4.0, 0.99), (3.0, 0.62), (4.0, 0.99)]","[('0', 0.86, '4', 4.0), ('2', 0.99, '4 spirits', 4.0), ('3', 0.98, 'four ghosts', 4.0), ('5', 0.99, 'four spirits', 4.0), ('6', 0.92, 'four ghosts', 4.0), ('12', 0.76, 'four ghosts', 4.0), ('16', 0.89, 'four Ghost', 4.0), ('17', 0.98, 'three spirits', 3.0), ('23', 0.99, 'four ghosts', 4.0), ('33', 0.62, 'three other ...', 3.0), ('42', 0.99, 'four ghosts', 4.0)]",1,"[2,3,5,6,12,16,23,42]","[17,33]",[0]
1929,how many high schoolers are in the us,56400000,"[(56400000.0, 0.95)]","[('1', 0.95, 'About 56.4 million students', 56400000.0)]",1,,,
1944,how many hindus are there in the world,1100000000,"[(1200000000.0, 0.94), (1000000000.0, 0.89), (1100000000.0, 0.86), (700000.0, 0.69)]","[('4', 0.94, '1.2 billion Hindus', 1200000000.0), ('5', 0.89, 'about 1 billion Hindus', 1000000000.0), ('8', 0.86, '1.1 billion followers', 1100000000.0), ('34', 0.69, '700,000', 700000.0)]",1,"[8,4,5]",[34],
2134,how many ieee fellows are there,5082,"[(5082.0, 0.99), (300.0, 0.86)]","[('0', 0.99, '5,082', 5082.0), ('22', 0.86, 'about 300 people', 300.0)]",1,[0],[22],
2215,how many iits in india 2020,23,"[(23.0, 0.62), (23.0, 0.75), (23.0, 0.57), (16.0, 0.97), (23.0, 1.0)]","[('0', 0.62, '23 IITs', 23.0), ('1', 0.75, '23 IITs', 23.0), ('9', 0.57, '23 IITs', 23.0), ('12', 0.39, '15—', 15.0), ('32', 0.97, '16 IITs', 16.0), ('42', 1.0, '23', 23.0)]",1,"[42,0,1,9]","[12,32]",
2292,how many inland lakes does wisconsin have,15000,"[(15000.0, 0.99), (15074.0, 0.98), (15000.0, 0.99), (5.0, 0.95)]","[('3', 0.99, '15,000', 15000.0), ('4', 0.98, '15,074', 15074.0), ('7', 0.99, '15,000', 15000.0), ('23', 0.95, 'five waters', 5.0)]",1,"[3,4,7]",,[23]
2338,how many irish died in the famine,1000000,"[(1000000.0, 0.98), (970.0, 0.98), (2400000.0, 0.98), (1000000.0, 0.99), (1000000.0, 0.97), (1000000.0, 0.94), (1000000.0, 0.97), (1000000.0, 0.79), (1000000.0, 0.87), (1000000.0, 0.87), (1000000.0, 0.98)]","[('1', 0.98, 'about one million people', 1000000.0), ('7', 0.98, '970 people', 970.0), ('11', 0.98, '2.4 million people', 2400000.0), ('13', 0.99, 'one million people', 1000000.0), ('20', 0.97, 'about 1 million people', 1000000.0), ('25', 0.94, 'one million people', 1000000.0), ('27', 0.97, '1 million Irish men', 1000000.0), ('30', 0.79, 'one million Irish people', 1000000.0), ('31', 0.87, 'estimated one million people', 1000000.0), ('35', 0.87, 'approximately one million people', 1000000.0), ('37', 0.98, 'about one million people', 1000000.0)]",1,"[13,1,37,20,27,25,31,35,30]",[7],[11]
2562,how many jio users in india,398300000,"[(398300000.0, 0.99), (387.52, 0.99), (400000000.0, 0.98), (322900000.0, 0.9), (138600000.0, 0.82), (400000000.0, 0.98), (750000000.0, 0.75), (388000000.0, 0.98), (627000000.0, 0.98), (400000000.0, 0.97), (350000000.0, 0.82)]","[('0', 0.99, '398.3 million subscribers', 398300000.0), ('3', 0.99, '387.52 million subscribers', 387.52), ('4', 0.98, '400 million subscribers', 400000000.0), ('6', 0.9, '322.9 million users', 322900000.0), ('12', 0.82, '138.6 million of these users', 138600000.0), ('13', 0.98, '400 million subscriber base', 400000000.0), ('16', 0.75, '750 million', 750000000.0), ('20', 0.98, '388 million Jio Phone users', 388000000.0), ('28', 0.98, '627 million people', 627000000.0), ('30', 0.97, 'almost 400 million subscribers', 400000000.0), ('37', 0.82, 'about 350 million users', 350000000.0)]",1,"[0,4,6,13,20,30,37,3]",[12],"[16,28]"
2723,how many kakapos are left in the world,131,"[(147.0, 0.73), (124.0, 0.8), (150.0, 0.97), (144.0, 0.98), (127.0, 0.71), (125.0, 0.97), (93.0, 0.69), (131.0, 0.98)]","[('4', 0.73, '147 adults', 147.0), ('12', 0.44, '100 Kakapos', 100.0), ('16', 0.8, '124 adults', 124.0), ('21', 0.97, '150 kakapo parrots', 150.0), ('25', 0.98, '144 kakapos', 144.0), ('29', 0.71, '127', 127.0), ('35', 0.97, '125 of them', 125.0), ('37', 0.69, '93 left - all', 93.0), ('41', 0.98, '131 kakapo', 131.0)]",1,"[41,4,16,21,25,29,35]",[37],
2748,how many kazon sects are there,18,"[(18.0, 0.98), (18.0, 0.98), (18.0, 0.99), (18.0, 0.98)]","[('0', 0.98, 'eighteen different sects', 18.0), ('1', 0.98, 'eighteen separate sects', 18.0), ('3', 0.99, 'eighteen different sects', 18.0), ('14', 0.98, '18 different sects', 18.0)]",1,"[3,0,1,14]",,
2832,how many kibbutzim are in israel,270,"[(270.0, 0.98), (270.0, 0.99), (273.0, 0.98), (270.0, 0.61), (275.0, 0.97), (274.0, 0.99), (256.0, 0.99), (270.0, 0.96), (270.0, 0.98)]","[('0', 0.98, '270 kibbutzim', 270.0), ('2', 0.99, '270 kibbutzim', 270.0), ('4', 0.98, '273 kibbutzim', 273.0), ('7', 0.61, 'estimated at around 270', 270.0), ('10', 0.97, '275 kibbutzim', 275.0), ('11', 0.99, '274 kibbutzim', 274.0), ('26', 0.99, '256 kibbutzim', 256.0), ('35', 0.96, '270 kibbutzim', 270.0), ('39', 0.98, '270 kibbutzim', 270.0)]",1,"[2,0,4,7,10,11,35,39]",[26],
3013,how many kylie jean books are there,8,"[(22.0, 0.97), (8.0, 0.95), (8.0, 0.95)]","[('1', 0.97, '22 Books', 22.0), ('14', 0.95, '8 books', 8.0), ('18', 0.95, '8 books', 8.0)]",1,"[14,18]",,[1]
4782,how many lapd officers are there,9870,"[(900000.0, 0.98), (9000.0, 0.99), (9870.0, 0.99)]","[('4', 0.98, '900,000', 900000.0), ('15', 0.99, 'approximately 9,000', 9000.0), ('22', 0.99, '9,870', 9870.0)]",1,"[22,15]",,
3113,how many lgas in nsw,128,"[(128.0, 0.57)]","[('1', 0.57, '128 local government areas', 128.0)]",1,,,
3400,how many mozart piano sonatas,18,"[(23.0, 0.52), (18.0, 0.67), (27.0, 0.58), (19.0, 0.63), (60.0, 0.54), (18.0, 0.72), (5.0, 0.97)]","[('3', 0.52, '23', 23.0), ('4', 0.67, '18 numbered piano sonatas', 18.0), ('8', 0.58, '27 piano concertos', 27.0), ('13', 0.63, '19 Sonatas - Complete', 19.0), ('15', 0.54, '60 of them', 60.0), ('18', 0.16, '12 & 13', 12.0), ('18', 0.16, '12 & 13', 13.0), ('23', 0.72, '18 numbered piano sonatas', 18.0), ('25', 0.97, '5', 5.0), ('27', 0.49, '11', 11.0)]",1,"[4,23,3,13]",[25],"[8,15]"
3407,how many mp in india,542,"[(539.0, 0.78), (543.0, 0.6), (543.0, 0.98), (542.0, 0.98), (539.0, 0.96), (543.0, 0.55), (539.0, 0.94)]","[('4', 0.78, '539 winners', 539.0), ('12', 0.6, '543 constituencies', 543.0), ('13', 0.98, '543 constituencies', 543.0), ('14', 0.98, '542 MPs', 542.0), ('15', 0.96, '539 winners', 539.0), ('22', 0.55, '543 seats', 543.0), ('24', 0.94, '539 winning candidates', 539.0)]",1,"[14,4,12,13,15,22,24]",,
3503,how many mvps does kobe bryant have,5,"[(5.0, 0.97), (2008.0, 0.87), (3.0, 0.8), (5.0, 0.93), (5.0, 0.62), (5.0, 0.85), (2021.0, 0.65)]","[('2', 0.97, '5 championships', 5.0), ('4', 0.87, '2008', 2008.0), ('6', 0.8, 'three consecutive NBA championships', 3.0), ('8', 0.93, 'five NBA championships', 5.0), ('11', 0.62, 'five championships', 5.0), ('12', 0.28, '7 years', 7.0), ('20', 0.24, '3 championships""', 3.0), ('29', 0.85, 'five MVPs', 5.0), ('34', 0.41, '12-time NBA', 12.0), ('43', 0.65, '2021', 2021.0), ('45', 0.44, 'four times', 4.0)]",1,"[2,8,29,11,6]",,"[4,43]"
3587,how many nbn connections,4,"[(6.0, 0.9), (4.0, 0.95)]","[('7', 0.9, 'six separate connections', 6.0), ('9', 0.95, '4 data ports', 4.0)]",1,[9],,[7]
3614,how many nfl players are from connecticut,24,"[(24.0, 0.69)]","[('7', 0.69, '24 NFL players', 24.0)]",1,,,
3635,how many nfl stadiums are there,31,"[(30.0, 0.71), (3.0, 0.74), (31.0, 0.79), (31.0, 0.97), (31.0, 0.69)]","[('0', 0.71, '30 full-time', 30.0), ('6', 0.74, 'three NFL stadiums', 3.0), ('15', 0.79, '31 stadiums', 31.0), ('34', 0.97, '31 NFL Stadiums', 31.0), ('39', 0.69, '31 stadiums shows', 31.0), ('45', 0.32, '14 of the 32 stadiums', 14.0)]",1,"[34,0,15,39]",[6],
2030,how many nhs employees,1300000,"[(1300000.0, 0.98), (1700000.0, 0.99), (1300000.0, 0.84), (1500000.0, 0.71)]","[('2', 0.98, '1.3 million staff', 1300000.0), ('7', 0.99, '1.7 million workers', 1700000.0), ('17', 0.84, 'about 1.3 million people', 1300000.0), ('25', 0.71, '1.5 million people', 1500000.0)]",1,"[2,7,17,25]",,
3679,how many nursing homes in washington state,205,"[(205.0, 0.97), (202.0, 0.83)]","[('2', 0.97, '205 nursing homes', 205.0), ('3', 0.83, '202 certified Medicare', 202.0)]",1,"[2,3]",,
4020,how many oompa loompas are in charlie and the chocolate factory,165,"[(165.0, 0.97), (12.0, 0.93), (165.0, 0.98), (4.0, 0.86)]","[('0', 0.25, '5 4', 9.0), ('4', 0.97, '165 Oompa Loompas', 165.0), ('5', 0.93, '12 Oompa Loompas', 12.0), ('19', 0.98, '165 Oompa-Loompas', 165.0), ('41', 0.86, 'four ...', 4.0)]",1,"[19,4]",[5],[41]
4030,how many ophthalmologists in the united states,25152,"[(23861.0, 0.98), (41000.0, 0.91), (372400.0, 0.86), (48181.0, 0.81), (23662.0, 0.99), (25152.0, 0.99)]","[('1', 0.98, 'approximately 23,861', 23861.0), ('3', 0.91, 'approximately 41,000', 41000.0), ('4', 0.86, 'estimated 372,400', 372400.0), ('11', 0.81, '48,181', 48181.0), ('17', 0.99, '23,662', 23662.0), ('45', 0.99, '25,152', 25152.0)]",1,"[45,1,17,4]",,"[3,11]"
4115,how many pcns are there in england,1250,"[(1250.0, 0.99), (1300.0, 0.88)]","[('0', 0.99, '1,250', 1250.0), ('5', 0.88, '1,300', 1300.0)]",1,"[0,5]",,
4226,how many poems did emily dickinson write,1800,"[(1700.0, 0.98), (1800.0, 0.99), (1800.0, 0.84), (1800.0, 0.98), (1789.0, 0.72)]","[('1', 0.98, '1,700', 1700.0), ('2', 0.99, 'nearly 1,800', 1800.0), ('12', 0.84, 'nearly 1800 poems', 1800.0), ('15', 0.98, 'Nearly 1800', 1800.0), ('20', 0.72, 'about 1789 poems', 1789.0)]",1,"[2,1,12,15,20]",,
4228,how many ppf account in india,1,"[(1.0, 0.92)]","[('22', 0.41, 'one’', 1.0), ('24', 0.92, '1', 1.0), ('38', 0.36, 'one of the best long term savings account in India. Opening a PPF account in Post Office is very easy and I am sure many of us did that in the early days of our job life. But gradually when we settle down in life & got busy with work, one thing', 1.0), ('38', 0.36, 'one of the best long term savings account in India. Opening a PPF account in Post Office is very easy and I am sure many of us did that in the early days of our job life. But gradually when we settle down in life & got busy with work, one thing', 1.0)]",1,,,
1109,how many provinces in drc,26,"[(26.0, 0.99)]","[('7', 0.99, '26 provinces', 26.0)]",1,,,
4430,how many rakat is maghrib,3,"[(3.0, 0.5), (2.0, 0.96), (2.0, 0.52), (4.0, 0.56), (2.0, 0.91), (3.0, 0.7), (2.0, 0.5), (4.0, 0.52), (4.0, 0.79), (4.0, 0.82), (2.0, 0.86), (4.0, 0.94), (3.0, 0.67), (2.0, 0.69), (3.0, 0.97), (2.0, 0.51), (2.0, 0.72), (3.0, 0.59), (2.0, 0.73)]","[('0', 0.5, 'Three rakats', 3.0), ('1', 0.96, '2 rakats', 2.0), ('2', 0.43, 'Two rakat', 2.0), ('3', 0.52, '2 rakats', 2.0), ('4', 0.56, '4 Rakat Sunnat + 4 Rakat Fard + 2 Rakat', 4.0), ('7', 0.91, '2 rakat fard', 2.0), ('9', 0.46, '4 Rakat', 4.0), ('10', 0.35, '2 Sunnah Must', 2.0), ('11', 0.34, '3 Rakat Fardh, then 2 Rakat', 3.0), ('11', 0.34, '3 Rakat Fardh, then 2 Rakat', 2.0), ('12', 0.7, '3 Rakat Fard + 2 Rakat', 3.0), ('13', 0.35, '3', 3.0), ('14', 0.5, '2 rakaat *', 2.0), ('15', 0.52, '4 rakats', 4.0), ('16', 0.79, 'four sunnah', 4.0), ('17', 0.82, '4 rakat sunnat', 4.0), ('18', 0.41, 'six supererogatory rak’ahs', 6.0), ('21', 0.86, ""two rak'ahs"", 2.0), ('22', 0.94, 'four obligatory rakats', 4.0), ('24', 0.67, '3', 3.0), ('25', 0.69, 'Two rak’', 2.0), ('26', 0.42, '3 Rakat', 3.0), ('28', 0.97, ""3 rakaa'"", 3.0), ('29', 0.41, '2 Rakat', 2.0), ('30', 0.43, '2 Rakah', 2.0), ('31', 0.51, '2 rakat', 2.0), ('33', 0.72, '2 Sunnah Muakkadha', 2.0), ('34', 0.59, 'three rakats', 3.0), ('36', 0.73, 'two rakats', 2.0)]",1,,,
1305,how many rings does elway have,2,"[(2.0, 0.96), (2.0, 0.8), (2.0, 0.92), (4.0, 0.66), (2.0, 1.0), (2.0, 0.88), (2.0, 0.65), (2.0, 0.95), (2.0, 0.99), (2.0, 0.85), (4.0, 0.68), (2.0, 0.98), (2.0, 0.93), (2.0, 0.98)]","[('0', 0.96, '2 rings', 2.0), ('1', 0.32, '3 Super bowl rings 2 of them', 3.0), ('1', 0.32, '3 Super bowl rings 2 of them', 2.0), ('3', 0.8, '2 Super Bowl Rings', 2.0), ('11', 0.92, '2 Super Bowl rings', 2.0), ('13', 0.66, 'four', 4.0), ('19', 1.0, 'Two', 2.0), ('20', 0.88, 'two Super Bowl wins', 2.0), ('21', 0.31, '2. S.B', 2.0), ('27', 0.65, 'two of the rings', 2.0), ('29', 0.95, 'two Super Bowl championships', 2.0), ('32', 0.99, 'two rings', 2.0), ('34', 0.85, 'two quarterback greats', 2.0), ('42', 0.68, 'four championship rings', 4.0), ('44', 0.98, '2 SB rings', 2.0), ('45', 0.93, '2', 2.0), ('46', 0.98, '2 rings', 2.0)]",1,"[19,32,44,45,46,0,29,11,20,3,27]",,"[13,42,34]"
339,how many rooms does aulani have,359,"[(359.0, 0.8), (359.0, 0.95), (359.0, 0.72)]","[('0', 0.8, '359 traditional hotel rooms and suites', 359.0), ('2', 0.95, '359 hotel rooms', 359.0), ('31', 0.72, '359 hotel rooms and suites', 359.0)]",1,"[2,0,31]",,
5425,how many rooms in vdara las vegas,1500,"[(1500.0, 0.98)]","[('16', 0.98, '1500 Vdara units', 1500.0), ('26', 0.49, '239-room', 239.0)]",1,,,
4583,how many rovers are currently on mars,4,"[(5.0, 0.96), (4.0, 0.62), (4.0, 0.99), (4.0, 0.99)]","[('2', 0.96, 'five rovers', 5.0), ('10', 0.62, 'Four rovers – robotic vehicles –', 4.0), ('12', 0.99, '4-pound', 4.0), ('14', 0.99, 'four rovers', 4.0)]",1,"[2,10,14]",,[12]
4667,how many sacraments are there in the catholic church,7,"[(7.0, 0.97), (7.0, 0.95), (7.0, 0.95), (7.0, 0.98), (7.0, 0.98), (7.0, 0.98), (7.0, 0.91), (7.0, 0.92), (7.0, 0.9), (7.0, 0.99), (7.0, 0.99), (7.0, 0.99), (7.0, 0.98), (7.0, 0.99), (7.0, 0.98)]","[('0', 0.97, 'seven holy sacraments', 7.0), ('1', 0.95, 'seven sacraments', 7.0), ('2', 0.95, 'seven sacraments', 7.0), ('3', 0.98, 'seven sacraments', 7.0), ('4', 0.98, '7 sacraments', 7.0), ('6', 0.98, 'seven sacraments', 7.0), ('8', 0.91, 'seven sacraments', 7.0), ('10', 0.92, 'seven Sacraments', 7.0), ('11', 0.9, 'seven', 7.0), ('14', 0.99, 'seven sacraments', 7.0), ('15', 0.99, 'seven sacraments', 7.0), ('20', 0.99, 'seven sacraments', 7.0), ('28', 0.98, 'seven sacraments', 7.0), ('36', 0.99, 'seven sacraments', 7.0), ('37', 0.98, 'seven sacraments', 7.0), ('39', 0.39, '10 or 12', 10.0)]",1,"[14,15,20,36,3,4,6,28,37,0,1,2,10,8,11]",,
4663,how many satellites does earth have,2666,"[(2666.0, 0.78), (150.0, 0.77)]","[('2', 0.78, '2,666', 2666.0), ('30', 0.77, '150', 150.0)]",1,[2],[30],
