qid,query,category,answer_norm,answer_relation,answer_metric
7.1627775740252E+018,how many us states currently use capital punishment,politics,27,,
5.38993759567782E+018,how many us troops does the united states have,politics,2100000,,
1.98237860316348E+018,how many cities make up the state of florida today,geography,282,,
8.55123150815882E+018,how many seasons are in star wars the clone wars,entertainment,7,,
1.50302610225762E+018,how many hotels and casinos are in las vegas,organization,30,,
4.80349635880317E+018,how many circuses are there in the uk,organization,20,,
-5.57499915186658E+018,how many wars held between india and pakistan,politics,4,,
2.78135475770222E+018,how many wing stops are there in the united states,organization,840,,
-3.18984204835411E+018,how many seasons of goliath are there on amazon,entertainment,4,,
1.28106214963619E+017,how many double doubles does lebron james have this season,sports,507,,
4.33294529937299E+018,how many episodes are in chicago fire season 4,entertainment,23,,
-4.97337347056965E+018,how many students attend university of texas at austin,education,51090,,
-4.7222608094021E+018,how many walker texas ranger seasons are there,entertainment,9,,
2.88669327437417E+018,how many languages in harry potter translated into,literature,88,,
7.89473088632443E+018,how many games in a row have the uconn women's basketball team won,sports,111,,
-8.96372114581879E+018,how many rides are in disneyland and california adventure,culture,49,,
6.66199430839337E+018,how many blocks does hassan whiteside have in his career,sports,3,,
9.14272393125507E+018,how many states have two capitals in india,geography,5,,
6.08324220662958E+018,how many national parks are present in india,geography,104,,
4.11183241366166E+018,how many customers does edf have in the uk,organization,5220000,,
-5.81070106233034E+018,how many times has lake placid hosted the winter olympics,sports,2,,
-7.95119494686888E+018,how many seasons of ray donovan has there been,entertainment,7,,
2.70194366564718E+017,how many players in the australian open tennis,sports,769,,
-8.62245589257865E+018,how many wins does tiger woods have on the pga tour,sports,82,,
-3.20087308987698E+018,how many ammendments to the constitution have there been,politics,27,,
