"qid","query","answer.default","answer_relation","answer_norm","answer_corrected","answer_metric","category","time_variant","snippet_instances","snippet_has_qualifier","instances_req","qualifier_req","answer_enum"
10784,"how many zones are in eritrea","six","=",6,,,"geography","no",0,1,1,1,"[Anseba, Debub (South), Debubawi K'eyih Bahri (Southern Red Sea), Gash Barka, Ma'akel (Central), Semenawi K'eyih Bahri (Northern Red Sea)]"
10789,"how many zones was germany divided into","four","=",4,,,"politics",,4,1,1,1,"[Soviet occupation zone, French occupation zone, British occupation zone, US occupation zone]"
4850,"how many ak47 have been made","100 million","=",100000000,,,"industry",,0,0,0,1,
10876,"how many algerian in usa",14716,"=",14716,,,"demography","yes",0,1,0,1,
5590,"how many aoa sensors on airbus","three","=",3,,,"other",,0,1,0,1,
6586,"how many barangays in imus cavite",97,"=",97,,,"politics",,0,0,0,0,
5809,"how many become navy seals",1000,"=",1000,250,,"demography","yes",0,1,0,1,
8159,"how many belts are there in jiu jitsu",8,"=",8,,,"social",,1,1,0,1,
5865,"how many bixby users","10 Million","=",10000000,,,"organization",,0,1,0,1,
5876,"how many black people in america","42 million","=",42000000,,,"demography","yes",0,1,0,1,
4901,"how many cts wagons were made",7000,"=",7000,,,"industry",,0,1,0,1,
9939,"how many died in tohoku earthquake",20000,"=",20000,,,"demography","no",0,1,0,1,
7594,"how many fgfa will india buy",250,"=",250,144,,"industry",,0,1,0,1,
7944,"how many high schoolers are in the us","56.6 million","=",56600000,,,"demography","yes",0,1,0,1,
7956,"how many hindus are there in the world","1.2 billion","=",1200000000,,,"demography","yes",2,1,0,1,
6528,"how many iglesia ni cristo members in the world","2.25 million","=",2250000,,,"organization",,0,1,0,1,
8059,"how many isa can you have","four","=",4,,,"social",,0,1,0,1,
8048,"how many jio users in india","387.5 million","=",387500000,,,"organization",,0,0,0,1,
8184,"how many kakapos are left in the world",142,"=",142,,,"wildlife",,0,1,0,1,
8604,"how many ltc in texas",937419,"=",937419,,,"social",,0,1,0,1,
8923,"how many nbme exams are there",6,"=",6,,,"education","no",0,1,0,1,
8926,"how many nbn connections","four","=",4,,,"organization",,0,0,0,1,
11257,"how many ppf account in india","one","=",1,,,"social",,0,1,0,1,
9380,"how many rakat is maghrib",3,"=",3,,,"social",,0,1,0,1,
9640,"how many sgr trains are there in kenya",30,"=",30,,,"industry",,0,1,0,1,
10718,"how many strokes does zao have",6,"=",6,,,"other",,0,0,0,1,
7263,"how many swift dzire sold in india","2.5 lakh units","=",2.5,,,"industry","yes",0,1,0,1,
9978,"how many tuk tuks in india","1.5 million","=",1500000,,,"industry","yes",0,1,0,1,
10431,"how many widows in the united states","13.7 million","=",13700000,,,"demography","yes",0,1,0,1,
10486,"how many wwe network subscribers are there","1.949 million","=",1949000,,,"organization",,0,1,0,1,
10899,"how many bcc can you send in yahoo",100,"=",100,,,"other",,,,,,
11042,"how many cctv cameras in london",627707,"=",627707,,,"other",,,,,,
6342,"how many data fields in dso",16,"=",16,,,"other",,,,,,
7874,"how many haploid cells are produced during meiosis i","four","=",4,,,"other",,,,,,
10894,"how many miles from auckland to wellington",305,"=",305,,,"other",,,,,,
11252,"how many miles from phoenix to sedona",119,"=",119,,,"other",,,,,,
9208,"how many points in ppr league","as many as 30","=",30,,,"other",,,,,,
5696,"how many rooms does aulani have",359,"=",359,,,"other",,,,,,
11345,"how many rooms in vdara las vegas",1495,"=",1495,,,"other",,,,,,
10523,"how many units of xeomin for glabellar",20,"=",20,,,"other",,,,,,
8328,"knn how many features","two","=",2,,,"other",,,,,,
10390,"wcf how many instances","one","=",1,,,"other",,,,,,
