"qid","query","answer_norm","answer_enum"
67,"how many wives did clint eastwood have",2,"""[Dina Eastwood, Maggie Johnson]"""
68,"how many gi joe movies are there",4,"[G.I. Joe: The Rise of Cobra (2009), G.I. Joe: Retaliation (2013), Snake Eyes: G.I. Joe Origins (2021), G.I. Joe: Ever Vigilant]"
70,"how many hannah montana movies are there",13,"[Hannah Montana: The Movie]"
71,"how many hilo books are there",8,"[Hilo Book 1: The Boy Who Crashed to Earth, Hilo Book 2: Saving the Whole Wide World, Hilo Book 3: The Great Big Boom, Hilo Book 4: Waking the Monsters, Hilo Book 5: Then Everything Went Wrong]"
75,"how many john wayne movies",92,"[Dark Command, Reap the Wild Wind, Wake of the Red Witch, Fort Apache, She Wore a Yellow Ribbon]"
76,"how many john wayne movies are there",92,"[Dark Command, Reap the Wild Wind, Wake of the Red Witch, Fort Apache, She Wore a Yellow Ribbon]"
78,"how many jodi picoult books are there",16,"[Leaving Time, Off the Page, Small Great Things, A Spark of Light, The Book of Two Ways]"
81,"how many john wick movies were made",4,"[John Wick, John Wick: Chapter 2, John Wick: Chapter 3 – Parabellum, John Wick: Chapter 4]"
82,"how many novels did jane austen write",10,"[Sense and Sensibility, Pride and Prejudice, Mansfield Park, Emma, Northanger Abbey, Persuasion, Lady Susan]"
83,"how many novels did agatha christie write",78,"[The Mysterious Affair at Styles, Peril at End House, Peril at End House, Death on the Nile, And Then There Were None]"
84,"how many novels did stephen king write",91,"[The Shining, Carrie, The Stand, The Long Walk, Cujo]"
86,"how many kids does nicky jam have",3,"[Yarimar Rivera, Joe Martin Rivera, Alyssa Rivera]"
92,"how many kubrick movies",18,"[Fear and Desire, Killer's Kiss, The Killing, Paths of Glory, Spartacus]"
93,"how many maeve kerrigan books are there",13,"[The Burning, The Reckoning, The Last Girl, Left For Dead, The Stranger You Know]"
94,"how many mib movies",4,"[Men in Black, Men in Black II, Men in Black 3, Men in Black: International]"
99,"how many movies is morgan freeman in",94,"[Driving Miss Daisy, Glory, Robin Hood: Prince of Thieves, Unforgiven, The Shawshank Redemption]"
103,"how many novels did jane austen complete",10,"[Sense and Sensibility, Pride and Prejudice, Mansfield Park, Emma, Northanger Abbey, Persuasion, Lady Susan]"
105,"how many harry potter films",7,"[Harry Potter and the Philosopher's Stone (2001), Harry Potter and the Chamber of Secrets (2002), Harry Potter and the Prisoner of Azkaban (2004), Harry Potter and the Goblet of Fire (2005), Harry Potter and the Order of the Phoenix (2007), Harry Potter and the Half-Blood Prince (2009), Harry Potter and the Deathly Hallows – Part 1 (2010), Harry Potter and the Deathly Hallows – Part 2 (2011)]"
106,"how many rio movies are there",2,"[Rio, Rio 2]"
109,"how many sailor moon movies are there",3,"[Sailor Moon R: The Movie, Sailor Moon S: The Movie, Sailor Moon SuperS: The Movie, Sailor Moon Eternal]"
115,"how many slugterra movies are there",4,"[Slugterra: Eastern Caverns, Slugterra: Into the Shadows, Slugterra: Return of the Elementals, Slugterra: Slug Fu Showdown (Video), Slugterra: Ghoul from Beyond]"
116,"how many siblings does donald trump have",4,"[Maryanne Trump, Fred Trump Jr., Elizabeth Trump, Robert Trump]"
