qid,query,num_organic_results,num_count_spans,num_neg_snip,num_snip,answer_relation,answer_norm,answer_metric
1663,how many gagosian galleries are there,10,1,9,10,=,16.0,
3747,how many npr member stations,10,2,8,10,=,1000.0,
3368,how many metro trains in hyderabad,10,3,8,10,=,48.0,
6065,how many zygotes fail to implant,10,1,9,10,=,1.5,
357,how many aws employees,10,1,9,10,=,25000.0,
288,how many asian elephants are left,10,1,9,10,=,20000.0,
3696,how many nldb farms in sri lanka,10,5,5,10,=,29.0,
3767,how many nri outside india,10,2,8,10,=,28000000.0,
3258,how many customers does mbna have,10,1,9,10,=,7000000.0,
3447,how many msq quests ffxiv,10,2,8,10,=,106.0,
1018,how many dholes are left in india,10,1,9,10,=,2500.0,
5743,how many jaguar xfr-s were made,10,1,9,10,=,200.0,
512,how many doctors are bma members,10,1,9,10,=,159000.0,
5558,how many wazir are there in pakistan,10,1,9,10,=,25.0,
4014,how many onsens in japan,10,1,9,10,=,2300.0,
3391,how many moons does pluto have,8,8,2,8,=,5.0,
4655,how many ryder cup wins for europe,10,2,8,10,=,11.0,
4737,how many sgr trains are in kenya,9,1,8,9,=,30.0,
3162,how many lok sabha seats belong to rajasthan,10,9,5,10,=,25.0,
4029,how many ophthalmologists are there in the us,10,1,9,10,=,23861.0,
2305,how many branches of iob bank in india,9,2,7,9,=,3400.0,
3434,how many msme units are there in india,10,1,9,10,=,63050000.0,
4858,how many sounds in the english language,8,9,2,8,=,44.0,
5553,how many waqt in zuhr,8,4,6,8,=,4.0,
2546,how many strokes in jiao,10,1,9,10,=,11.0,
385,how many ounces in us-west-1,10,3,8,10,=,33.814,
3201,how many limited company in india,10,2,8,10,=,1189826.0,
4125,how many pcyc clubs in nsw,10,1,9,10,=,63.0,
1456,how many exhibits does the smithsonian have,10,2,8,10,=,137000000.0,
5599,how many wife did david have,10,4,6,10,=,8.0,
2443,how many subdivision in jajpur,10,3,7,10,=,1.0,
1678,how many gates did jerusalem have,9,3,6,9,=,8.0,
1650,how many fxxk were made,9,3,6,9,=,40.0,
5828,how many xxl freshman are there,10,1,9,10,=,124.0,
2290,how many inland lakes does michigan have,10,1,9,10,=,11000.0,
1700,how many gems to max th13,7,1,6,7,=,1688882.0,
4821,how many employees at nissan smyrna,10,2,8,10,=,7000.0,
1599,how many followers does charli d'amelio,8,1,7,8,=,41400000.0,
1622,how many fry do koi have,9,1,8,9,=,100000.0,
2232,how many iit are there in india,10,3,7,10,=,16.0,
4340,how many al qaeda,10,1,9,10,=,170.0,
5171,how many uavs does india have,10,1,9,10,=,100.0,
199,how many amhara live in oromia region,10,1,9,10,=,84.0,
1691,how many gears does luffy have,9,3,6,9,=,4.0,
844,how many cpa firms in the us,10,1,9,10,=,42000.0,
1716,how many ghanaians live in the uk,9,2,7,9,=,56112.0,
1363,how many eras are in our current eon,10,4,6,10,=,3.0,
5929,how many zip codes in the us,10,2,8,10,=,42000.0,
61,how many aegon targaryen in game of thrones,10,1,9,10,=,8.0,
2400,how many frontier in itbp,10,1,9,10,=,5.0,
3864,how many nyse listed companies,10,1,9,10,=,2400.0,
1272,how many john wick movies,8,4,4,8,=,4.0,
5430,how many vegans in the world,9,1,8,9,=,600000.0,
5799,how many doses in xopenex inhaler,10,1,9,10,=,200.0,
3817,how many nuclear power plants are in the us,10,3,7,10,=,58.0,
5821,how many envoy xuv were made,8,1,7,8,=,27200.0,
992,how many democratic senators are there,10,6,4,10,=,53.0,
1506,how many fdic insured banks are there,10,2,8,10,=,4708.0,
2098,how many icbms does north korea have,10,1,9,10,=,147.0,
3155,how many landlocked countries are there in europe,10,3,7,10,=,17.0,
2382,how many ismailis are there in the world,10,1,9,10,=,15000000.0,
5581,how many wegmans stores are there,11,4,7,11,=,101.0,
4233,how many portuguese live in usa,10,1,9,10,=,191000.0,
4047,how many orphans in india,10,2,9,10,=,20000000.0,
1467,how many faa control towers are there,10,3,8,10,=,256.0,
5771,how many zip codes in florida,10,1,9,10,=,975.0,
3908,how many oblasts in russia,10,4,6,10,=,46.0,
3446,how many msps in the us,10,1,9,10,=,8000.0,
3470,how many rounds muay thai,10,3,7,10,=,5.0,
5129,how many employees does tva have,10,1,9,10,=,10009.0,
4952,how many tafes in australia,10,1,9,10,=,59.0,
562,how many b&q stores in ireland,10,1,9,10,=,296.0,
162,how many students in aktu,10,2,8,10,=,400000.0,
1221,how many ecg full form,10,1,9,10,=,12.0,
864,how many crm projects fail,10,2,8,10,=,1.33333333333333,
5473,how many vlts in alberta,10,1,9,10,=,6000.0,
4946,how many taal are there in indian music,8,1,7,8,=,108.0,
836,how many costco stores are there in the world,10,1,9,10,=,592.0,
763,how many cases of cjd in australia,10,1,9,10,=,20.0,
1828,how many trains does gwr have,10,1,9,10,=,93.0,
5456,how many vhs tapes will fit on a dvd,9,2,7,9,=,1.0,
4815,how many smithfield plants are there,10,2,9,10,=,2000.0,
2609,how many jntu colleges in telangana,10,1,9,10,=,423.0,
2356,how many irish speak gaelic,9,1,8,9,=,138000.0,
3262,how many partitions does mbr support,10,6,4,10,=,4.0,
4997,how many tejas express in india,9,1,8,9,=,3.0,
4405,how many does qudos bank arena hold,11,2,9,11,=,21000.0,
2393,how many seats isuzu d-max,8,3,5,8,=,5.0,
2688,how many jutsu does kakashi know,9,6,5,9,=,1000.0,
3141,how many runners in llhm,10,4,6,10,=,13000.0,
2037,how many hypertension in uk,10,1,9,10,=,12500000.0,
2277,how many inbreds are in america,9,1,8,9,=,250000.0,
2814,how many games in khelo india,10,3,8,10,=,17.0,
3832,how many nuns are in the united states,10,3,7,10,=,180000.0,
806,how many views does cnbc have,10,1,9,10,=,5700000.0,
1210,how many ghosts visit ebenezer scrooge in a christmas carol,10,6,4,10,=,4.0,
1166,how many rakat is duhr,7,4,4,7,=,3.0,
778,how many clinical hours for rn in california,10,2,8,10,=,864.0,
4633,how many russians died in wwii,10,2,8,10,=,26000000.0,
4543,how many rounds in nfl draft,10,3,8,10,=,30.0,
567,how many british soldiers died in ww1,10,1,9,10,=,700000.0,
3559,how many naxal districts are there in odisha,10,3,9,10,=,10.0,
978,how many runways does dubai have,10,3,7,10,=,2.0,
4509,how many rheumatologists in the us,10,1,9,10,=,4997.0,
5835,how many yakuza are there,10,2,8,10,=,28200.0,
3297,how many media outlets are there in the us,10,1,9,10,=,4.0,
1885,how many hdfc branches in india,10,2,8,10,=,5314.0,
3411,how many mpos are in the united states,10,1,9,10,=,408.0,
3370,how many mna in karachi,10,1,9,10,=,342.0,
588,how many boutiques are in the us,10,1,9,10,=,74007.0,
503,how many bk coupons can i use,10,4,6,10,=,1.0,
3830,how many nukes does russia have,10,1,9,10,=,6800.0,
4460,how many rcss stores in canada,10,1,9,10,=,500.0,
1802,how many xy gtho were made,10,4,6,10,=,1557.0,
1138,how many dtc bus depot in delhi,10,1,9,10,=,18.0,
529,how many bmtc depot in bangalore,10,2,8,10,=,45.0,
5663,how many washington townships are there in new jersey,10,2,8,10,=,5.0,
1754,how many buick gnx were produced,10,3,7,10,=,547.0,
3146,how many lloyds pharmacy in ireland,10,2,8,10,=,91.0,
745,how many chc in meghalaya,10,3,8,10,=,5.0,
435,how many employees does bmc have,10,1,9,10,=,9000.0,
1419,how many etsy shops can you have,10,7,6,10,=,2.0,
5901,how many drivers does yrc have,10,1,9,10,=,8400.0,
4558,how many rnli stations in ireland,10,2,8,10,=,46.0,
3514,how many employees does mweb have,10,1,9,10,=,166.0,
5894,how many yoni pearls to use at once,8,5,5,8,=,3.0,
934,how many cases of cwd in wisconsin,10,1,9,10,=,6492.0,
2707,how many jysk stores are there in canada,10,3,7,10,=,63.0,
4116,how many pcns are there in singapore,10,1,9,10,=,10.0,
642,how many ca students in india,9,2,7,9,=,2.1,
5822,how many mahindra xuv300 sold in india,10,2,8,10,=,1257.0,
1779,how many gps satellites orbit the earth,10,4,6,10,=,30.0,
1289,how many ejk in the philippines,10,1,9,10,=,2000.0,
5767,how many mosques in xinjiang,9,1,8,9,=,39000.0,
4380,how many rakats in qiyam al layl,8,2,7,8,=,11.0,
5302,how many upgrades in black river snowrunner,8,1,7,8,=,7.0,
3485,how many muji stores are there in canada,10,2,8,10,=,8.0,
1301,how many elephants are in africa,10,2,8,10,=,415000.0,
2515,how many jesus are in the bible,9,1,8,9,=,24.0,
2221,how many nift in india,10,2,8,10,=,16.0,
2996,how many kvks are in india,10,1,9,10,=,716.0,
4444,how many rbmk reactors are still active,10,3,7,10,=,10.0,
4319,how many pvr cinemas are there in india,10,1,9,10,=,462.0,
1891,how many heb stores are there in the us,10,1,9,10,=,340.0,
2021,how many hs students in the us,10,1,9,10,=,56600000.0,
4818,how many small businesses in the united states,10,5,5,10,=,30700000.0,
5792,how many xmm registers are there,10,3,7,10,=,8.0,
5134,how many tvet colleges are there in south africa,10,3,7,10,=,50.0,
4911,how many sue ryder homes are there,10,1,9,10,=,100.0,
3432,how many sds are required at your workplace,10,1,9,10,=,1.0,
914,how many cults are there in the united states,10,1,9,10,=,10000.0,
3142,how many lloyd loar mandolins are there,9,1,8,9,=,228.0,
5758,how many cities in england,10,1,9,10,=,69.0,
5520,how many vta in canada,8,2,6,8,=,7.0,
4065,how many osmond brothers are there,9,2,7,9,=,9.0,
904,how many cto in a company,10,1,9,10,=,4.0,
6024,how many electrons does zn have,10,10,3,10,=,30.0,
2502,how many jeep xjs were made,10,3,8,10,=,3000000.0,
1035,how many dioceses in texas,10,3,7,10,=,15.0,
2861,how many times kkr win ipl,10,2,8,10,=,2.0,
5133,how many tva lakes are there,10,1,9,10,=,49.0,
1345,how many epf members in india,10,2,8,10,=,45060972.0,
1226,how many echoes of ny'alotha per week,7,1,6,7,=,3875.0,
1441,how many eu citizens live in the uk,10,1,9,10,=,2370000.0,
2339,how many irregular verbs in english,9,3,6,9,=,200.0,
2296,how many inpatient beds at mgh,10,4,6,10,=,999.0,
5224,how many students does ull have,10,1,9,10,=,15073.0,
5705,how many wyndham hotels are there in the us,10,1,9,10,=,9000.0,
4995,how many ted bundy movies are there,9,1,8,9,=,2.0,
4517,how many rifles are in the us,10,1,9,10,=,15000000.0,
5861,how many yoga studios in the us,10,1,9,10,=,6000.0,
3149,how many members does lmcu have,10,1,9,10,=,400000.0,
4293,how many members in pty ltd,10,2,8,10,=,50.0,
2073,how many hyundai venue sold in india,10,2,8,10,=,9342.0,
2137,how many iebc commissioners are there in kenya,10,1,9,10,=,7.0,
1922,how many hgvs are there in the uk,10,2,8,10,=,500300.0,
3905,how many obi stores in europe,10,1,9,10,=,668.0,
1953,how many hispanic billionaires are there,10,1,9,10,=,100.0,
5339,how many usns hospital ship,10,1,9,10,=,24.0,
5381,how many students does ucf have,10,3,7,10,=,69525.0,
2165,how many infiniti dealers in usa,10,2,8,10,=,51.0,
459,how many nfl teams are in california,10,2,8,10,=,22.0,
287,how many asanas are there in surya namaskar,9,7,3,9,=,12.0,
2557,how many jio phone users in india,10,2,8,10,=,387500000.0,
3985,how many oklahoma sooners are in the 2020 nfl draft,10,2,8,10,=,4.0,
221,how many aol users,10,2,8,10,=,500000.0,
4451,how many bcba's are there,10,1,9,10,=,22274.0,
1415,how many old etonian prime ministers,10,1,9,10,=,9.0,
5608,how many whl teams are in saskatchewan,10,2,9,10,=,12.0,
1781,how many gq issues a year,10,7,5,10,=,11.0,
189,how many alters does tara have,9,1,8,9,=,3.0,
1252,how many trophies have lfc won,10,1,9,10,=,6.0,
3111,how many lgfa clubs in ireland,10,1,9,10,=,1000.0,
3640,how many ngos are in india,10,1,9,10,=,42000.0,
2302,how many inuit words for snow,10,3,7,10,=,50.0,
3629,how many net carbs in broccoli,10,2,8,10,=,6.0,
1255,how many efw plants are there in the uk,10,1,9,10,=,58.0,
847,how many cpas are there in the us,10,2,8,10,=,654375.0,
4045,how many orphans in africa,10,1,9,10,=,50000000.0,
962,how many dams are on the columbia river,9,1,8,9,=,274.0,
647,how many cbs all access subscribers,10,1,9,10,=,4000000.0,
235,how many aol subscribers are there,10,2,8,10,=,2200000.0,
4806,how many small businesses in the us,10,4,6,10,=,30700000.0,
1825,how many gwinnett county high schools,10,1,9,10,=,26.0,
2991,how many kva is 1 kw,10,2,8,10,=,200.0,
987,how many deer are in the us,10,3,8,10,=,29500000.0,
709,how many cegeps in montreal,10,2,8,10,=,48.0,
5431,how many vegetarians in the us,10,1,9,10,=,8000000.0,
2335,how many counties in iowa,10,4,6,10,=,99.0,
2975,how many kung fu panda movies are there going to be,10,4,7,10,=,3.0,
639,how many ca are required in india,10,1,9,10,=,250000.0,
1591,how many mncs are there in india,10,1,9,10,=,40000.0,
938,how many cwd cases in mississippi,10,1,9,10,=,19.0,
4146,how many peugeot 205 are there left,10,1,9,10,=,4419.0,
5960,how many zaxby's are in the world,10,1,9,10,=,900.0,
5268,how many ukrainian in usa,10,1,9,10,=,961113.0,
5881,how many ymcas are there in the us,10,2,8,10,=,2700.0,
2655,how many jsf will be built,10,2,9,10,=,37.0,
686,how many cctv cameras in us,10,2,9,10,=,15.28,
60,how many aegon targaryen,10,1,9,10,=,8.0,
3165,how many london bridges are there,10,2,8,10,=,35.0,
4238,how many ppc members,10,1,9,10,=,30000.0,
1080,how many dnr officers are in minnesota,10,2,8,10,=,149.0,
166,how many alaska native corporations are there,10,1,9,10,=,198.0,
4810,how many smbs in india,10,1,9,10,=,42500000.0,
5285,how many unfilled jobs in the us,10,3,7,10,=,7000000.0,
4688,how many sba loans have been processed,10,1,9,10,=,26919.0,
3799,how many nato members are there,10,5,5,10,=,30.0,
5245,how many uighurs live in china,10,4,6,10,=,10000000.0,
2775,how many adc village in tripura,10,1,9,10,=,1662.0,
2602,how many johannesburg airport,10,1,9,10,=,2.0,
2039,how many huckleberry finn books are there,10,2,8,10,=,4.0,
3918,how many ocbc branches in singapore,10,2,8,10,=,44.0,
822,how many ceu for cnor,10,3,8,10,=,125.0,
3404,how many mpesa agents in kenya,10,2,8,10,=,160000.0,
3787,how many levels in nso,10,3,8,10,=,2.0,
5406,how many vas deferens are there,10,4,7,10,=,2.0,
3249,how many mayans are left,10,1,9,10,=,6000000.0,
4105,how many palm trees are in california,10,1,9,10,=,2500.0,
3568,how many nba players are in the bubble,9,3,6,9,=,22.0,
3228,how many airports in lyon france,10,2,8,10,=,2.0,
2140,how many societies in ieee,10,4,7,10,=,39.0,
4892,how many srt4s were made,10,1,9,10,=,1175.0,
4932,how many serial killers are from indiana,10,1,9,10,=,8.0,
1072,how many dnf has hamilton had,10,3,8,10,=,10.0,
444,how many bds seats in kerala,10,4,8,10,=,2077.0,
1041,how many divisions occur in meiosis,10,7,4,10,=,2.0,
776,how many electrons does cl have,9,9,6,9,=,18.0,
1651,how many function in python,10,1,9,10,=,3.0,
2222,how many iihm in india,10,2,8,10,=,9.0,
1176,how many customers does dwp have,10,2,8,10,=,20000000.0,
3494,how many haroof e muqattaat in quran,9,1,8,9,=,29.0,
612,how many bws stores in australia,10,5,5,10,=,1100.0,
2109,how many icici branches in india,10,5,5,10,=,5275.0,
5843,how many taxi drivers in the us,10,1,9,10,=,207920.0,
1736,how many guns are in the united states,10,1,9,10,=,120.5,
4418,how many words in qwerty,10,3,8,10,=,22.0,
257,how many arabic letters are there,9,3,6,9,=,28.0,
2120,how many branches of idbi bank in maharashtra,10,1,9,10,=,530.0,
5946,how many zig zag wraps are in a box,10,3,8,10,=,50.0,
3265,how many mclaren p1 were made,10,4,6,10,=,375.0,
3158,how many lords in england,10,2,8,10,=,26.0,
5691,how many ww1 veterans are still alive,9,4,6,9,=,110.0,
2711,how many wins does jim have,10,2,8,10,=,899.0,
4888,how many srm college in chennai,10,2,8,10,=,3.0,
2584,how many joyo kanji are there,10,3,7,10,=,2136.0,
347,how many auxiliary verbs are in english *,9,1,8,9,=,10.0,
654,how many cbs affiliates are there,10,1,9,10,=,228.0,
3189,how many languages are spoken in china,10,1,9,10,=,302.0,
4901,how many hospitals does ssm have,10,1,9,10,=,23.0,
1996,how many hof did mike tyson fight,8,2,6,8,=,2.0,
136,how many aicp members are there,10,1,9,10,=,46398.0,
4909,how many supreme court justices are there,10,2,8,10,=,6.0,
829,how many coke cans make a pound,9,2,7,9,=,32.0,
5207,how many ucs are there in california,10,1,9,10,=,10.0,
2530,how many kgf chapters are there,8,11,1,8,=,2.0,
851,how many cpg islands in human genome,10,1,9,10,=,30000.0,
3656,how many members does nhif have,10,3,7,10,=,7000000.0,
4041,how many oak trees to build hms victory,10,1,9,10,=,2000.0,
5954,how many episodes of zatch bell,11,5,6,11,=,150.0,
4397,how many wwe wrestlers have died in the ring,9,1,8,9,=,16.0,
3255,how many copies did mbdtf sell,10,1,9,10,=,1351000.0,
63,how many types of aloe vera,10,1,9,10,=,400.0,
4993,how many tectonic plates cover the earth,10,4,6,10,=,7.0,
3125,how many libraries does columbia have,9,1,8,9,=,21.0,
4856,how many sororities are there in the us,10,1,9,10,=,26.0,
788,how many cme credits for np,10,1,9,10,=,20.0,
5004,how many tenses are there in spanish,10,3,9,10,=,7.0,
5832,how many yahoo accounts are there,10,1,9,10,=,227800000.0,
1942,how many hindu countries in the world,9,1,8,9,=,3.0,
3386,how many moons does neptune have,10,3,7,10,=,14.0,
1521,how many festivals in japan,10,1,9,10,=,200000.0,
1065,how many types of dmfs are there in the us,10,4,6,10,=,5.0,
3849,how many nxt takeovers a year,10,1,9,10,=,200.0,
1768,how many golf courses in the us,10,3,7,10,=,15500.0,
4197,how many players are in the nba,10,6,4,10,=,15.0,
3987,how many oku in malaysia,10,1,9,10,=,197519.0,
2883,how many ward in kmc,9,4,6,9,=,141.0,
5820,how many strange coins for xur,7,4,4,7,=,13.0,
4779,how many train siwan to delhi,10,2,8,10,=,5.0,
4433,how many rates are in the navy,10,1,9,10,=,93.0,
3909,how many oblasts in ukraine,10,5,5,10,=,24.0,
4106,how many pandas are in the us,10,1,9,10,=,12.0,
5864,how many yha hostels in uk,10,2,8,10,=,150.0,
275,how many armenians live in glendale,10,1,9,10,=,200000.0,
1600,how many followers does charli have on tiktok,8,3,6,8,=,41400000.0,
5680,how many free wsj articles,10,1,9,10,=,5.0,
4168,how many phns in australia,10,3,7,10,=,31.0,
5768,how many species of xindi are there,10,2,8,10,=,5.0,
4537,how many rlcs has turbopolsa won,9,2,7,9,=,4.0,
4266,how many psc in india,10,1,9,10,=,29.0,
833,how many coqui are in puerto rico,10,1,9,10,=,20000.0,
3531,myq how many devices,10,1,9,10,=,3.0,
3396,how many mountains are in the us,10,1,9,10,=,73301.0,
744,how many chc in india,10,1,9,10,=,5624.0,
1351,how many epl teams are relegated,10,6,6,10,=,3.0,
5858,how many hits yb have,7,2,5,7,=,13.0,
2161,how many ifc performance standards are there,10,1,9,10,=,8.0,
282,how many hiv patients in india,10,2,8,10,=,2100000.0,
438,how many b corps are in the us,10,1,9,10,=,1257.0,
2950,how many ksrtc buses are there in karnataka,10,1,9,10,=,24138.0,
4140,how many pediatric dentists in the us,10,1,9,10,=,4453.0,
4230,how many pogo workers in the philippines,10,1,9,10,=,56.0,
4193,how many teams in pkl,11,6,5,11,=,12.0,
4852,how many somalis in maine,9,1,8,9,=,10000.0,
5341,how many usns ships are there,10,2,8,10,=,2.0,
1905,how many pellets in hevi metal,10,2,9,10,=,273.0,
2804,how many employees work at kforce,10,2,8,10,=,2400.0,
1865,how many branches hbl have in pakistan,10,2,8,10,=,1700.0,
5278,how many ultas are there,10,2,8,10,=,1196.0,
5375,how many types of utp cables are there,10,1,9,10,=,5.0,
2774,how many adc village are there in tripura,10,1,9,10,=,527.0,
1616,how many farm are there in india,10,1,9,10,=,144300000.0,
3782,how many branches does nsitf have,10,1,9,10,=,67.0,
4338,how many embassies in pyongyang,10,5,6,10,=,25.0,
3823,how many nuffield hospitals are there in the uk,10,6,5,10,=,31.0,
4361,how many users can qbo have,10,1,9,10,=,5.0,
3299,how many medical schools in california,10,1,9,10,=,12.0,
1479,how many fault lines are in utah,10,1,9,10,=,5.0,
2226,how many oil platforms are in the gulf of mexico,10,2,9,10,=,184.0,
5463,how many vigilante levels in san andreas,9,4,5,9,=,12.0,
5577,how many wechat users outside of china,10,1,9,10,=,100000000.0,
2657,how many james were president,10,1,9,10,=,1.0,
3998,how many ombudsman are there in the uk,10,1,9,10,=,20.0,
5518,how many vta charts are published in canada,8,3,5,8,=,7.0,
2027,how many hsbc branches in uk,10,1,9,10,=,600.0,
1928,how many hifz in quran,8,2,6,8,=,6236.0,
365,how many acres is america,10,2,8,10,=,1900000000.0,
4547,how many army bases are there in the us,10,1,9,10,=,5000.0,
1137,how many dsw stores in canada,10,2,8,10,=,27.0,
3240,how many malls are in the us,10,2,8,10,=,116000.0,
3585,how many nbme for step 3,10,2,8,10,=,6.0,
2986,how many episodes does kuzgun have,9,2,7,9,=,21.0,
536,how many bofors guns does india have,10,1,9,10,=,1580.0,
4657,how many books in john rylands library,10,1,9,10,=,250000.0,
366,how many ayahs in surah kahf,9,5,4,9,=,110.0,
6036,how many zones was berlin divided into,10,8,4,10,=,4.0,
1413,how many ethnic groups in vietnam,10,7,3,10,=,54.0,
2255,how many islands make up japan,10,3,7,10,=,4.0,
5897,how many yoshimitsu's are there,8,2,7,8,=,2.0,
3037,how many laliga has barcelona won,10,3,7,10,=,26.0,
489,how many bivouacs in ghost recon breakpoint,9,2,7,9,=,4.0,
4345,how many al qaeda members were there in 2001,10,1,9,10,=,40000.0,
2750,how many kills for kbd pet,8,3,7,8,=,6880.0,
5475,how many vms per core,10,1,9,10,=,4.0,
4398,how many are unemployed in florida,9,1,8,9,=,221905.0,
5067,how many toilets are in the united states,10,1,9,10,=,225000000.0,
5394,how many uzbeks in afghanistan,10,1,9,10,=,1300000.0,
2317,how many ios devices are there,10,3,7,10,=,1350000000.0,
3346,how many mips instructions are there,10,2,8,10,=,3.0,
5544,how many wahlberg are there,10,2,8,10,=,9.0,
1069,how many dmus exist in the state of florida,10,3,8,10,=,12.0,
2935,how many kreg screws to use,8,4,4,8,=,2.0,
456,how many bff can u have,10,1,9,10,=,5.0,
5404,how many vans does amazon have,10,3,8,10,=,20000.0,
1105,how many dps offices are in texas,10,1,9,10,=,400.0,
1096,how many dok levels are there,10,5,5,10,=,4.0,
3126,how many libraries does harvard have,10,2,8,10,=,70.0,
2891,how many seasons does knb have,10,2,8,10,=,3.0,
4016,how many oocytes does meiosis produce,10,3,8,10,=,4.0,
4893,how many does cadillac srx seat,10,3,7,10,=,5.0,
4068,how many students at oswego east high school,11,5,6,11,=,2717.0,
2224,how many iiit colleges in andhra pradesh,10,1,9,10,=,4.0,
815,how many cng pump in jaipur,9,2,8,9,=,2.0,
5531,how many veterans live in texas,10,1,9,10,=,204556.0,
3663,how many nielsen dmas are there,10,2,8,10,=,210.0,
3955,how many phds mark ruffalo,10,2,8,10,=,7.0,
1720,how many guntas in one acre,8,3,5,8,=,40.0,
1281,how many eire signs in ireland,10,2,8,10,=,80.0,
5495,how many voyages did john cabot go on,10,1,9,10,=,3.0,
56,how many prisoners at adx,9,1,8,9,=,490.0,
5576,how many wechat users in china,10,1,9,10,=,889000000.0,
111,how many branches of agd bank in myanmar,10,1,9,10,=,53.0,
5281,how many unemployment claims in wisconsin,10,1,9,10,=,1400000.0,
241,how many apostles did jesus have,10,8,4,10,=,12.0,
3933,how many odi matches india played,10,3,7,10,=,502.0,
4930,how many employees does swbc have,10,1,9,10,=,2600.0,
3473,how many mubi subscribers,10,1,9,10,=,9000000.0,
1665,how many gajalu for one cent,10,6,7,10,=,48.4,
4216,how many pnc bank locations are there,10,6,4,10,=,2459.0,
3650,how many nfl teams are in new york,10,4,6,10,=,2.0,
4855,how many sooners play for dallas cowboys,10,1,9,10,=,377.0,
2380,how many islands in greece,10,2,8,10,=,6000.0,
2677,how many rakat in johar namaz,8,8,4,8,=,2.0,
939,how many cwd cases in tennessee,10,1,9,10,=,148.0,
2217,how many iit in india,9,2,7,9,=,16.0,
4836,how many ann taylor stores are there,10,2,8,10,=,165.0,
665,how many ccas are in california,10,2,8,10,=,19.0,
933,how many cwc india won,10,2,8,10,=,4.0,
5685,how many wto agreements,10,2,8,10,=,60.0,
4998,how many tejas mk2 india have,8,1,7,8,=,324.0,
937,how many cwd cases in minnesota,10,1,9,10,=,6.0,
